,class,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
0,Archaeoglobi,,,,,,,,,,,,,,0.048140389519909586,,,,,,,,,,,,0.024829877392851134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Candidatus_Methanofastidiosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042107596053325945,,,,
2,Candidatus_Methanomethylia,,,,,,,,,0.039103094350288754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053916386601719206
3,Candidatus_Poseidoniia,,,,,,,,0.038362355843229064,0.039103094350288754,,,,0.3960058370605622,0.3634519705247605,,0.4629100498862757,0.6007581914749707,0.6023938246285289,0.6712298045747451,0.7029350233548074,0.045083481733371615,0.04155858174616914,0.065966734766361,0.12586335510551053,0.04902903378454601,0.07022949872206236,0.08773648438815042,,,,,0.08164965809277261,0.05455447255899809,0.0707814950398772,0.16308201826336055,0.1315903389919538,0.10365802271581508,0.08585457105482137,0.04770928656225338,0.04381079543383235,0.1125087900926024,0.08045179867091297,,0.03925343359894298,0.08045179867091297,,,,,0.042107596053325945,0.028205406366325913,0.060671093570925726,,
4,Hadesarchaea,,,,,,,,0.02712628195903865,,,0.06350006350009525,,,,,,,,,,,,,,,,0.0264535453763972,,,,,,,,,,,,,,,,,,,,,,0.03935970880220759,,,,0.043622810223968224,
5,Halobacteria,,,,,,0.07715167498104596,0.3922322702763681,0.038362355843229064,,,,1.0,,,,0.1889822365046136,0.026880166528523517,,0.18156825980064073,,,,,,,,,,,,,0.05773502691896258,0.05455447255899809,,,,,,,,,,,,,0.08864844143558724,0.07280352571744352,0.04315318520021031,0.048205601494970135,,0.028205406366325913,0.04953774046180699,0.053426813097493656,
6,Methanobacteria,,,,,,0.06299407883487121,,0.08578083544249646,0.17919288976719827,0.11277677488692019,0.11593472394004208,,,,,,,,,,,0.04155858174616914,,,0.04902903378454601,,0.0264535453763972,,,,,,,,,0.0657951694959769,,0.03504998186163908,,,0.06495698024616309,,,,,,,0.04315318520021031,0.11807912640662278,0.07293249574894728,0.10169603889908652,0.12134218714185145,,
7,Methanococci,0.04134491152973615,,,,0.053149400345273386,0.0445435403187374,,,,,,,,,,,,,,,,,,,,,0.0264535453763972,,,,,,,,,,,,,,,,0.03192754284070505,,,,0.042033135170919854,,0.0622331639279769,0.042107596053325945,,,,0.06603381797442179
8,Methanomicrobia,0.22645540682891915,0.11785113019775792,,0.040225899335456484,0.06509445549041193,0.06299407883487121,,0.08996769921551803,0.06772854614785964,0.06906138832741962,0.08197822947299412,,,,,,,,,,0.06375767130633384,0.10995367214091195,,0.1665015683926963,0.20215188501565998,0.06569368066570892,0.0264535453763972,0.15007505629691606,0.1064492590824699,0.13226001425322165,0.1533929977694741,0.05773502691896258,0.05455447255899809,0.02238307405179226,0.07293249574894728,0.09304842103984709,,0.07837414205275961,0.03895446935658099,,0.15911145683514602,,0.03192754284070505,0.048075441484815705,,0.08864844143558724,0.0594438298277764,0.07474350927519359,0.11132606799827534,0.09875106606839944,0.11282162546530365,0.07832604499879574,0.11946598590717192,0.13206763594884358
9,Methanopyri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03192754284070505,,,,,,,,,,,
