,family,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
0,Archaeoglobaceae,,,,,,,,,,,,,,0.04432422071779362,,,,,,,,,,,,0.022450662753346864,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Candidatus_Methanoperedenaceae,,,,,,,,,,,,,,,,,,,,,,,,0.0547996624351191,,0.022450662753346864,,,,,,,,,,,,,,,,,,,,,0.03962144258751637,,,0.03542181734879073,0.03331483023263848,,,
2,Cenarchaeaceae,0.09759000729485333,0.06551217820804184,0.10846522890932808,0.1106002527218662,,,,0.08525814444488479,,,0.04559607525875532,,,,,,,,,,,,,,,,,0.08574929257125442,0.0669649530182425,0.16031511026549947,,,,,,,,,,,,,,0.08730378697119727,,,,,0.0566744336953578,0.050094014498562434,0.0942285694863091,0.07412493166611012,0.07204381596421112,0.10166571355506979
3,Haloarculaceae,,,,,,,0.3333333333333333,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,0.04295367795875578,0.03962144258751637,,,,0.03331483023263848,,,
4,Halobacteriaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056033181468052584,,,,,,,
5,Halococcaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07439795259651642,,,,,,,,
6,Haloferacaceae,,,,,,,,,,,,,,,,0.15811388300841897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Methanobacteriaceae,,,,,,,,0.0911447902699551,0.20960213356095742,0.11664236870396086,0.14418745018211812,,,,,,,,,,,0.039374961547907886,,,,,0.023973165074269207,,,,,,,,,,,0.03386427307392982,,,0.06008417681261097,,,,,,,,0.13882344401482424,0.0867653782666021,0.12011832863715594,0.12104550653376048,,
8,Methanocorpusculaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04789131426105757,0.028205406366325913,,0.08497185773241747,,,,,,,,,,,,,
9,Methanomassiliicoccaceae,,,,,,0.07024393586862704,,0.03222454963485545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055215763037423274,,0.04295367795875578,0.056033181468052584,,0.032720999550184426,,,,,
10,Methanomicrobiaceae,,,,,,,,,,0.047619047619047616,,,,,,,,,,,,,,0.0547996624351191,0.1209348110313801,0.04490132550669373,0.023973165074269207,0.12126781251816648,,0.04833682445228318,0.11396057645963795,,,,,,,,,,0.06008417681261097,,,,,,,,0.046274481338274755,0.03542181734879073,0.06662966046527696,,,
11,Methanosarcinaceae,0.3086066999241838,0.1464896838272619,,0.0553001263609331,0.08111071056538127,,,0.0911447902699551,0.07922215995297693,0.06734350297014738,0.04559607525875532,,,,,,,,,,,0.08804509063256238,,0.0949157995752499,0.10473261855504573,0.031750031750047626,,0.12126781251816648,0.133929906036485,0.16031511026549947,0.16116459280507606,0.051987524491003634,,,0.06362847629757777,,,,,,,,,0.03904344047215152,,0.08590735591751156,,,0.10852327827334954,0.0867653782666021,0.08160433493741087,0.08559209850218258,0.16109486985446062,0.16074760739013735
12,Methanothermaceae,,,,,,0.05735393346764044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Methanotrichaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06008417681261097,,,,,,,,,,0.03331483023263848,,,
14,Natrialbaceae,,,,,,0.07024393586862704,0.19245008972987526,0.04557239513497755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0566744336953578,,,,,
15,Nitrosopumilaceae,1.0,1.0,1.0,1.0,1.0,,0.19245008972987526,0.6759478557066925,0.6580686843373109,0.694977119967925,0.7737910562629933,,0.05141178664632655,0.04432422071779362,,,0.08058229640253803,0.08407977604846421,,,0.12115650656307654,0.18883568182068286,0.08141255010133054,0.2847473987257497,0.29622857916678746,0.20819888134557396,0.2210216611842461,1.0,1.0,1.0,1.0,0.17242311251607115,0.15,0.14301938838683884,0.38177085778546666,0.40259099679869137,0.5748986646151399,0.4188779244557181,0.9439334415541849,0.9116331375155473,0.6771142846762542,,1.0,1.0,,,,0.0409272754535029,0.6721756678723632,0.6977288842988683,0.6868028197434451,0.7387743537695023,0.954863710632231,0.9107454992153875
16,Nitrososphaeraceae,,,,,,,0.9229582069908973,0.055814557218594754,0.045738935374634825,0.09523809523809523,0.04559607525875532,,,,,,,,,,0.042835293687811936,,0.020353137525332635,,,,0.023973165074269207,,,,0.16116459280507606,,,,,,,0.03386427307392982,,,,,,,,0.04295367795875578,0.056033181468052584,,0.09816299865055327,0.03542181734879073,0.08160433493741087,0.12838814775327387,,
17,Sulfolobaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03542181734879073,,,,
18,Thermoplasmataceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05083285677753489
19,,0.9292427365828928,0.7382847537924669,0.747545001596402,0.9498108615839653,0.7709074170184349,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8224783208299743,0.7635179377431845,0.7627422244340347,0.8296455196719189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9413543475175183,0.9992375141857404,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
