,orderx,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
0,Archaeoglobales,,,,,,,,,,,,,,0.047036043419179864,,,,,,,,,,,,0.022513159974164025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Candidatus_Altiarchaeales,0.05634361698190111,,,,,,,,,0.11016316230980794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09697622757528539,,0.03895446935658099,0.09697622757528539,0.04372694694466261,0.041630544712181326,0.04311306135592268,0.047836487323493986,0.051468501265497874,,,,0.07422696190252055
2,Candidatus_Methanomethyliales,,,,,,,,,0.04693232544639321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07422696190252055
3,Candidatus_Poseidoniales,,,,,,,,,,,,,0.3796751582688175,0.35511434030501426,,0.42008402520840293,0.48467067208297065,0.4821568702453098,0.5750175312895447,0.644857801502328,0.04299335803923478,0.03946685189819292,0.06449599814746856,0.11085479909473865,0.04303314829119352,0.06367683233467576,0.07997092494906698,,,,,0.07422696190252055,0.050507627227610534,0.06768199198072673,0.14373989364401724,0.11180339887498948,0.08679805620822895,0.0834299517232724,0.048950649987362815,0.04254356298115171,0.08559209850218258,,,,,,,,,,0.034752402342845795,,,
4,Cenarchaeales,0.09759000729485333,0.06523280730534423,0.10846522890932808,0.1106002527218662,,,,0.08699176724016801,,,0.046524210519923545,,,,,,,,,,,,,,,,,0.08451542547285165,0.06651901052377393,0.15865567974062197,,,,,,,,,,,,,,0.08710484150874759,,,,,0.058587492514838024,0.051468501265497874,0.09829463743659808,0.07566499084579774,0.07453559924999299,0.1049727762162956
5,Desulfurococcales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07918075824648958,,,0.07918075824648958,0.04372694694466261,,,0.03382550457458692,,,,0.04303314829119352,
6,Halobacteriales,,,,,,,0.3396831102433787,,,,,1.0,,,,,,,,,,,,,,,,,,,,,0.050507627227610534,,,,,,,,,,,,,0.08745389388932522,0.07210621858826594,,,,0.034752402342845795,,0.07453559924999299,
7,Haloferacales,,,,,,,,,,,,,,,,0.17149858514250885,,,0.08980265101338746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Methanobacteriales,,,,,,0.062317695284975584,,0.10397504898200727,0.215070933898399,0.13934660285832354,0.14712247158412492,,,,,,,,,,,0.03946685189819292,,,0.04303314829119352,,0.024112141108520606,,,,,,,,,0.05590169943749474,,0.03406013516450858,,,0.06052275326688024,,,,,,,0.04311306135592268,0.14350946197048195,0.08914605918126538,0.12530156859268538,0.15132998169159548,,
9,Methanocellales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03382550457458692,,,,,
10,Methanococcales,0.05634361698190111,,,,0.0659380473395787,0.044065264923923174,,,,,,,,,,,,,,,,,,,,,0.024112141108520606,,,,,,,,,,,,,,,,0.04343722427630694,,,,0.041630544712181326,,0.07563612760200646,0.051468501265497874,,,,0.09090909090909091
