,phylum,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
0,Candidatus_Aenigmarchaeota,,,,,,,,0.040225899335456484,0.05783149319662402,0.05439282932204212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05181277601508398,,,,,0.048450158311150925,,0.06046740551569005,0.0788723006725099,0.06884283908215143,0.03747658444979307,
1,Candidatus_Altiarchaeota,0.05063696835418333,,,,,,,,,0.12162606385262997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11298653657320641,,0.03239317741958685,0.11298653657320641,0.04981354813867179,0.04719291781830087,0.048450158311150925,0.05661385170722979,0.06046740551569005,,,,0.0668153104781061
2,Candidatus_Bathyarchaeota,0.11322770341445958,,,0.06586649219387843,0.07035975447302918,0.12186666955535813,,0.2379796298154944,0.25863030005593585,0.260858845504818,0.20851441405707477,,,,,,,,,,0.04393747751637468,,,,,,0.026020147394144395,,0.07749842582921285,,,,,,,,,,,,,0.17258978545253828,0.1269148633940705,0.11221325821863463,0.17258978545253828,0.2227729596770565,0.17015648503264194,0.16069099615140686,0.1834498464263357,0.2221714343750906,0.22308455461326418,0.20070964149630047,0.14022453903762566,0.10564428184106457
3,Candidatus_Diapherotrites,0.12403473458920845,0.12290541152149845,,0.15447061651522712,0.09950371902099892,0.30262874684312724,0.2721655269759087,0.1970658556328586,0.10016708449412667,0.1884222879063983,0.15865567974062197,,,,,,,,,,0.062136976600120006,0.07076967744316075,0.02909879809896627,0.04315318520021031,0.08146881698903526,0.09150522248280037,0.05818281835787088,0.1227818263605087,0.07749842582921285,0.08965815751510409,0.09407208683835973,0.055215763037423274,0.105703284516338,0.030794751789719334,0.07106690545187015,,0.027472112789737803,,,,,0.36320089980205345,0.12151173059067565,0.11221325821863463,0.36320089980205345,0.2728400398492002,0.2541416401811047,0.30642570651794776,0.22645540682891915,0.18140221654707014,0.18071914403354652,0.13768567816430285,0.09915372244226286,0.0944911182523068
4,Candidatus_Geothermarchaeota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04981354813867179,,,,,,,0.03747658444979307,
5,Candidatus_Heimdallarchaeota,,,,,,0.1793828805147865,,0.0985329278164293,0.12931515002796792,0.07692307692307693,0.06765100914917384,,,,,,,,,,,,,,,0.024455799402225923,,,,,,,,,,,,,,,,0.06523280730534423,0.03663716527236559,,0.06523280730534423,0.11138647983852824,0.11559856812793746,0.09690031662230185,0.05661385170722979,0.06046740551569005,0.08818191292276725,0.0973584767022471,0.09915372244226286,0.0472455591261534
6,Candidatus_Hydrothermarchaeota,,,,,,,,0.05688801239885743,,,0.047836487323493986,,,,,,,,,,,,,,,,0.026020147394144395,0.1002509414234171,,0.09821559067074769,,,,,,,,,,,,,,0.05610662910931732,,,,0.048450158311150925,0.05661385170722979,0.10473261855504573,0.10433824645548682,0.06884283908215143,,0.0944911182523068
7,Candidatus_Lokiarchaeota,0.08770580193070292,,,0.11408411099613627,0.107476300250388,0.16500825061880156,,0.2575714310073953,0.20851441405707477,0.1884222879063983,0.1512722552040129,,,,,,,,,,0.04393747751637468,,,,,,,,,,,,,,,,,,,,,,0.05181277601508398,0.11221325821863463,,0.07044699536763468,0.21105314459656363,0.16069099615140686,0.16984155512168936,0.17629126638404602,0.2049162481119541,0.14603771505337065,0.12429576904403139,0.125
8,Candidatus_Micrarchaeota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04003203845127178,,,,,
9,Candidatus_Odinarchaeota,,,,,,,,,,,0.047836487323493986,,,,,,,,,,,,,0.04315318520021031,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04867923835112355,,
10,Candidatus_Verstraetearchaeota,,,,,,,,,0.05783149319662402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0668153104781061
11,Candidatus_Woesearchaeota,,,,,,,,0.040225899335456484,,,0.08285522649991611,,,,,,,,,,,0.05778319966569877,,,,,0.026020147394144395,,,,,,,0.02177517781546711,,,,,,,,0.06523280730534423,,0.045810870835137615,0.06523280730534423,0.09962709627734358,,0.048450158311150925,0.04003203845127178,0.07405714479169687,0.03943615033625495,0.04867923835112355,0.03747658444979307,
12,Crenarchaeota,0.23204774044612855,,,0.15447061651522712,0.12186666955535813,0.09950371902099892,0.2721655269759087,0.4926646390821466,0.5331800225579063,0.348284043774516,0.3915585241100028,,0.03042903097250923,,,,0.1532928390922788,0.14584183648679575,0.12171612389003691,,,,,0.04315318520021031,,0.03458572319330373,,,0.07749842582921285,,,,,0.02177517781546711,0.1421338109037403,0.1257389226923863,0.22486893457267293,0.03456505649101418,,,,0.20628424925175867,0.11585688927269845,0.17140858325483957,0.20628424925175867,0.18638523035448062,0.18277738476921454,0.1746895300952024,0.3668996928526714,0.42756912480901277,0.378258265881422,0.37073003424842566,0.22485950669875843,0.24549512651549144
13,Euryarchaeota,0.34343662872314296,0.16489491297879383,,0.19759947658163526,0.19900743804199783,0.5886719404433564,0.4714045207910317,0.37086446725782946,0.43661819877899816,0.3689101171779015,0.36431183363726527,1.0,1.0,1.0,1.0,1.0,0.9662333378179307,0.9814145929089312,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2555907532870255,0.1549968516584257,0.16532147383389412,0.2822162605150792,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9038021008760119,0.9794799867722809,1.0,0.4375949744936837,0.20725110406033592,0.207417539462819,0.4375949744936837,0.4167700450745759,0.4766251065616453,0.4466883885125344,0.434859246311452,0.405627687468386,0.4283862445207091,0.3954720018729554,0.36141109214866374,0.32043497223082784
14,Nanoarchaeota,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045068217307089015,,,,,,,,,,,,,,,,,,,,,,,,,,,
