,class,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
0,Acidimicrobiia,0.34297670933291396,0.43798811643545177,0.30322452411404316,0.3781200246200415,0.4002546599486913,0.24719835991615385,0.20852105115586395,0.33274614948936676,0.3520266098276463,0.33883291568334567,0.3283751110411364,0.10929995320505673,0.08833803919739658,0.0850623250787751,0.0631753972713992,0.0853374695560737,0.1807596570719745,0.1740274918926163,0.09084654594750133,0.10293040604896753,0.21581106973410158,0.22599327727476884,0.26742631990340354,0.24177551978405992,0.22366100326919872,0.23648129532609607,0.2626128657194451,0.5989155893972405,0.11442309099613655,0.6364117894672918,0.6540817208602696,0.16431177929110174,0.16528261347024595,0.06377572297482598,0.08802234877744129,0.08785321403065192,0.10040300800174809,0.09370556314314486,0.08288950323146128,0.09104410962645171,0.09781071856846399,0.22540620056180605,0.42694589102967245,0.468727940657415,0.2253186947544936,0.22836645680116105,0.21308201242797628,0.21941077172574056,0.33245958783750595,0.282579002549676,0.3105229891257693,0.31008683647302115,0.3337280443458991,0.33238009932925694
1,Acidithiobacillia,0.04086864035827414,0.03925343359894298,,0.03313147809612858,0.03364791644882781,0.0428588922353854,0.025231295719346385,0.01788854381999832,0.02437936915541597,,,,,,,,,,0.016586234162292005,,,,0.008788174152965353,0.008292831913012185,,,,0.031195212775629165,0.004142394023732023,0.030834251950773144,0.0280349346047365,0.009819506972968168,0.009639477770375339,,,,,,,,,0.03525631971083364,0.027516278113766536,0.012126781251816649,0.035242632719475496,0.036107907233705945,0.03566881875032109,0.029560921996961705,0.031906641010091136,0.02801384225795807,0.04022264520776961,0.024906774069335894,0.030787453590353963,0.04224639825202388
2,Acidobacteriia,0.09138505798909233,0.09615088296963141,0.012451938769933184,0.08765765161033996,0.10094374934648342,0.04948918593853785,0.013819749820569553,0.09549869109050657,0.08267446319622854,0.07919695118266484,0.1113159783409822,,0.011042254899674572,0.008966356343953033,,,,0.005658121810760757,,,0.035177898337498174,0.016047140854798213,,0.011727835361862253,0.017979389453673864,0.006901805990296321,0.009807457189056365,0.031195212775629165,0.01309940008086278,0.07800517288954655,0.07591896180011233,0.01388687993698876,0.021554527562157366,,0.01487849251609039,0.008897240837366833,0.0076780099211776415,0.027434179772123535,0.007598468303169561,0.007560801771785188,0.011294208939026683,0.05288447956625047,0.09630697339818288,0.10641207361838555,0.05286394907921324,0.053334913650483574,0.04802061686157211,0.03451971984461374,0.10443899828608921,0.11550403060895265,0.10015357888045086,0.08864385858132122,0.10152860125126277,0.09997322504302937
3,Actinobacteria,0.1103128887699708,0.10749995520836132,0.08892462952207572,0.09800423387435704,0.08068486919954049,0.116588791755333,0.12914874769946555,0.2507588482985197,0.26538821825639064,0.25152927410040987,0.23918748127688072,1.0,0.3469096210209297,0.33537049508768474,0.10942299786241164,0.1384356558708946,0.28679677811540133,0.2477327076296233,0.13268987329833604,0.12538389443735937,0.1929689989015549,0.1921194192283414,0.38647987988958576,0.22710855521777468,0.21593987753435512,0.37689169414617263,0.39741384917729616,0.18923953034262528,0.32640908380574446,0.18449089176006092,0.27468513901559694,0.10204730989474642,0.11607468326214052,0.27604043467852896,0.09090909090909091,0.08740152356222074,0.2035758850007552,0.18105634916282073,0.29142874932877655,0.3251144761867631,0.13924435947238692,0.10428960013387972,0.11510884988391457,0.10981267472114394,0.10499110940395678,0.11776030079682893,0.10513229276577342,0.11309269954694977,0.26366107247790255,0.2101038169346855,0.22895131027213542,0.23275954500279686,0.09976275174167507,0.11646528262122326
4,Alphaproteobacteria,0.5845379048077234,0.6411060358104129,0.3387293559116514,0.5097835359910207,0.5969542470357856,0.3410806758390318,0.25382232035052243,0.5326161845081315,0.5341252169666798,0.5188037676538971,0.516278638922988,0.8101970388718726,1.0,1.0,0.36837270242726977,0.3781093147363332,1.0,1.0,0.2962396145284354,0.3003757045930553,0.6202783171166927,0.6221932686226309,1.0,0.6115366141659713,0.6055879011311605,0.8519188526111438,0.8693025998186475,0.6941898672681905,0.3578318789396251,0.7336997131405733,0.7718522068279807,0.5007948556213766,0.5032878335255456,1.0,0.25554650098886217,0.2467280443817141,1.0,0.5444761303901604,1.0,1.0,0.3117692681062284,0.331671848429133,0.5670957389490808,0.5745842486733598,0.3320110397844268,0.35344861229900315,0.3604580772368579,0.37740858736600585,0.5611268061784107,0.5119716492052611,0.5501834495721785,0.5386239858939762,0.5895013556737866,0.6177226689497707
5,Anaerolineae,0.12064409976027551,0.08326910724800533,0.008804850343139431,0.12173282363956875,0.12248026464639797,0.15532037316418876,0.08291849892341731,0.24033310217279683,0.21323239315785872,0.20359463942371503,0.20018446541901352,0.07250138687691525,,,,,,,,,0.018371058252118568,0.029297936765452382,,0.02031320670954835,0.020101568506178783,0.015432907361817828,0.012011632893689353,0.12633098322230832,0.013738766710529683,0.12410547011511165,0.10857883483615849,0.034015769964915475,0.04201750946957287,0.010147448193239254,0.012148238268746562,0.017794481674733666,0.010858345762564598,0.01828945318141569,,,0.01597242345784698,0.12339711898791776,0.12609542729979184,0.14852213144650114,0.12334921451816423,0.1588897117505655,0.13435123539784147,0.14092616613855047,0.23102825516147416,0.19659650654105615,0.22431112975410844,0.2166555319401392,0.1260030842923491,0.1274413563328024
6,Aquificae,0.01544689411561872,,,,,,,0.021908902300206645,0.042226306033658005,0.016513705870960113,0.022962733021794544,,,,,,,,,,,,,,,,,,0.004142394023732023,,,0.017007884982457738,0.009639477770375339,0.010147448193239254,0.017180203318601237,,0.010858345762564598,,,,,,,0.017149858514250882,,,,,0.04512280444624048,,0.012719517237340857,0.024906774069335894,0.021770017209205406,0.040078452424485475
7,Ardenticatenia,0.09268136469371233,0.08326910724800533,0.01968824389897212,0.08765765161033996,0.09059978774681486,0.09710479478742444,0.07611324708263126,0.17618172436436194,0.18486571971007154,0.17240815089081923,0.17786856515363475,,,,,,,,0.016586234162292005,,0.036742116504237136,0.03819983596576246,,0.01854333588347487,0.02378449660959925,0.011954278639176459,,0.14227205995004416,0.008284788047464046,0.16198990763883936,0.1894520040238721,0.04280223857056122,0.04622931135943826,0.007175329429178656,0.022727272727272728,0.015410473177496015,,0.012932596368772909,,,0.017857712308579046,0.07582158246785932,0.10110126149886058,0.10914103126634983,0.07579214747996181,0.09237878025993643,0.09005935277860241,0.08549004517090747,0.23415462540386023,0.22146886886955425,0.23727951728995045,0.22230836488631833,0.08289775578803049,0.08861679258008533
8,Bacilli,0.12831153926876726,0.11611322246597489,0.06988633301726598,0.10076545676826358,0.11410563630028937,0.0989783718770757,0.09965563318429557,0.1995995991979944,0.20614627158827636,0.2022507657312757,0.182982871731806,0.5409335552375218,0.03717376929663873,0.023722749052486045,0.0631753972713992,0.0875543963862575,0.03074784207686155,0.024663181183349505,0.07779633411093619,0.09426479189556486,0.09949812184934376,0.09717026338256426,0.03403645213800529,0.10088665446106367,0.0984771717394766,0.06583903294717965,0.08176149489707578,0.15659872529156418,0.5350267115113475,0.15293291632852762,0.1901421775446605,0.15494920645440702,0.16471946834598394,0.06919637111007389,0.07083579295217997,0.07390603305380053,0.030712039684710566,0.08331242420407851,0.04020731495038721,0.0392870784440662,0.08857137272754102,0.1107912667387692,0.11006511245506614,0.0985184366143778,0.11074825603535916,0.1077752436365925,0.10399158313953916,0.10004765308824193,0.2281779002431984,0.18369904843605359,0.2086155937220945,0.18582968446791762,0.1202288497130266,0.13426115398436334
9,Bacteroidia,0.18080126017597795,0.11938465754059978,0.20403709024696792,0.17687369211891313,0.15141562401972514,0.11393266204979857,0.02256755695554319,0.13682105101189657,0.1206717207559135,0.16347734765426397,0.15574083266821784,0.14110563283481156,0.11404391821604498,0.10571178224804369,0.10099285391066022,0.14650652720740234,0.11471871124616052,0.11678231832440733,0.23397762622436807,0.21400072185439864,0.1366556495920236,0.13804272523902267,0.18766404624738015,0.08618163727179429,0.09299012532061678,0.10306594239551158,0.10356043231583109,0.05403169348031145,0.10585417632690058,0.05340649099211885,0.06867128475389923,0.1870867348070351,0.19731518891420843,0.141155344870362,0.11871756687520922,0.10842228938709533,0.14219873370725875,0.18940845935613548,0.18965752530630514,0.20287760071335037,0.1059490712046988,0.20021740824805587,0.16044609400655727,0.14450727642986172,0.19936243666246414,0.18217341142773724,0.11065960000737102,0.11132275151453293,0.14769904781684778,0.16092727182107444,0.15784505784995526,0.15218290331986004,0.13811527570796162,0.1534887871525005
10,Balneolia,,,0.01525044814735776,,,0.011066118390969736,0.015957672558078225,,0.017238817250844786,0.016513705870960113,,,0.02298628658209087,0.01902051412003263,0.021058465757133066,0.03915551640972675,,,,,0.04373186588803209,0.03819983596576246,0.1028629412236021,0.01658566382602437,0.015570608011415585,0.032372339588129614,0.0268588276710619,0.01395092326777534,,,0.022890428251299746,0.017007884982457738,0.019278955540750677,0.024856070264763244,,,0.0076780099211776415,0.020448230292472638,0.029428741194860643,0.03464794643376185,,,0.013758139056883268,0.017149858514250882,,,0.012610831807632958,0.012604819491769116,0.017054817003221697,0.03132042779987522,0.022030850102822484,0.03522349768381734,0.010885008604602703,0.029872714684713593
11,Betaproteobacteria,0.20953186621304423,0.1688354018331836,0.07825922166519114,0.15000914717810407,0.18352771689878913,0.05959287131063412,0.03090190003083404,0.16923356641044943,0.14110580056800498,0.17319720833542346,0.1548921024657962,0.5425506995187305,0.13493858378868195,0.1269618328096784,0.23544080467400555,0.22149704939343134,0.05218081833456446,0.05543804535550502,0.05745640055064874,0.05228869856160021,0.1670318869388696,0.14939075127504917,0.2981510316755896,0.24149091048024438,0.23818450226613666,0.34934321265303303,0.3592796996260193,0.09148232168569118,0.028095083189076626,0.13081865188323732,0.09298135910606155,0.08503942491228869,0.09395400741920606,0.15785724744193044,0.07083579295217997,0.07061965983096213,0.23212491986778994,0.21132036588942094,0.26627184011954147,0.26484399681953574,0.10833024652132893,0.07051263942166729,0.18509683045866876,0.1866894243830394,0.07048526543895099,0.06254072988376248,0.04884154157278522,0.05776253944228677,0.16224501182689988,0.18423228337027414,0.17852693184488777,0.1891384847632224,0.1731366608131725,0.1903433496472958
12,Blastocatellia,0.02184520715484915,0.03925343359894298,0.012451938769933184,0.02869270169617504,0.023792669893764516,0.024744592969268925,,0.025298221281347035,0.02437936915541597,0.023353906807751994,,,,,,,,,,,,,,0.011727835361862253,0.012713348204286684,,,,,0.030834251950773144,0.016185977040758175,,,,0.008590101659300619,0.0062912993299519635,,0.01828945318141569,,0.007560801771785188,0.011294208939026683,0.012464991373605704,0.030764134175085833,0.017149858514250882,0.012460152291404009,0.018856739558127947,0.01993947585070926,0.008912953338262313,0.02088779965721784,,0.022030850102822484,0.020336295869552105,0.030787453590353963,
