,family,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
0,Acaryochloridaceae,,,,0.023578086712119476,,0.02658513267026018,0.023233050684016814,,,,,,0.015975990152658322,0.010612954809475304,0.06557715972000795,0.06438005420030285,0.022773681116356238,0.021335971781574446,0.04956815970966097,0.06358826364343312,0.04290184928708599,0.04226281232164157,0.02337377297935888,0.02576995924179615,0.03172126541950765,0.019937956569505543,0.018061608462911098,0.00881750566530432,,,,0.03961398068797045,0.04234982293752502,0.006738783154362946,0.06225526983981342,0.06431848256567668,0.023661101441390546,0.04791225035572365,0.02378347153728581,0.01753003908140313,0.05371866004492658,0.014263172997509043,,0.0069887362453397725,0.014265349750363764,0.011924635959463524,0.018758611886567078,0.007666268456952831,0.01636707245688736,,,,,
1,Acetobacteraceae,0.030609927017672834,0.030515939477465934,0.01861371358643127,0.029824182751699332,0.02043477729719941,0.017723421780173457,0.021732528927286218,0.03166377980657928,0.023525830250021886,0.017442155257954565,0.01736833685729687,0.12873006086935782,0.005325330050886107,0.00919108847422185,0.0315022485532386,,,0.00871037400521299,0.014309095175803562,,0.011266577585945386,0.009825904278128048,0.009167948040618362,0.010988347541611645,0.016380791025383784,0.009968978284752772,0.008077396861210942,0.038434616129158904,,0.028317327423486742,0.03167031776097682,0.02376838841278227,0.020456907977403006,,0.011366205204945613,0.014503419584298021,0.010581566249093503,0.02091062037816938,0.0061408659452604035,0.013858712742249934,0.027352202876386213,0.020171172695551,0.02960353571912572,0.03698091616758466,0.022555498415031947,0.02529597285035283,0.018758611886567078,0.028684550000949625,0.038731562588287145,0.028162666252030295,0.015109947130387486,0.02286092888715145,0.033557802760701215,0.047959741084462944
2,Acholeplasmataceae,,,,,,,,,,,,,,,,,,,,,0.007966673411786345,0.006947963546354251,,,,0.005755592296247547,0.005711582094897191,0.00881750566530432,,0.01634901661068084,0.009548960091317149,0.00792279613759409,,,0.011366205204945613,0.01025546633845091,,0.01956009430000079,,,0.007310183709783566,,,,,,,,,,,,0.006458202152434404,
3,Acidaminococcaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01075496815028448,,,,0.007731984443077383,,,,,0.022179062202331765,0.0061408659452604035,,,,0.007911877721292355,,,,,,,0.00849136336854446,,,,
4,Acidiferrobacteraceae,0.0184584805050515,0.01631145576574385,,0.021088881867073465,0.02043477729719941,0.012532351726590002,0.016428247686319043,0.018811088266103344,0.027836137744557572,0.022517725612007385,0.01736833685729687,,,,,,0.005523428983933594,0.007111990593858149,,,,,0.009167948040618362,0.010988347541611645,0.011582968415248612,,,0.019716542059609966,,0.024523524916021264,0.013504268867700139,,,,,0.005920996251169778,,0.014786041468221177,,0.006197804754462675,,0.0100855863477755,0.01769149641447584,0.009883565582007928,0.01008712554448004,0.011924635959463524,,,0.007319577321252926,0.022466035765052347,0.02723984457408102,0.0193210113160221,0.012916404304868808,0.011150413311667513
5,Acidimicrobiaceae,,0.011533940982981885,0.02943086532357212,,0.010217388648599704,0.008861710890086728,0.008214123843159522,0.010860586874184576,0.023525830250021886,0.010070233033427314,,0.05255382728122436,,,,,,,,,,,,,,,0.00989275037996262,0.019716542059609966,0.0062093837566925955,0.018278756253377788,0.025264173680905798,0.017715910735533164,0.010934677263457818,,0.008037120776774875,,,,,,,,0.011189084777289188,0.02795494498135909,,0.00843199095011761,0.00765817123416611,0.01714229740350895,0.007319577321252926,0.01698272673708892,0.010684346079267205,0.012219680491303427,0.006458202152434404,
6,Acidithiobacillaceae,0.00922924025252575,0.011533940982981885,,,,0.008861710890086728,,,0.010521071133233962,,,,,,,,,,,,,,,,,,,0.00881750566530432,,,,,,,,,,,,,,0.0100855863477755,0.011189084777289188,,0.01008712554448004,0.01460463673456467,0.00765817123416611,0.01877844595072818,,,,,,0.013656411517361291
7,Acidobacteriaceae,,,,0.025828499910081307,0.010217388648599704,0.017723421780173457,0.011616525342008407,0.007679594626401523,0.010521071133233962,0.022517725612007385,0.022422426466543747,,,,,,,,,,0.007966673411786345,0.006947963546354251,,,,,,,0.0062093837566925955,0.014158663711743371,0.013504268867700139,,,,,,,0.01045531018908469,,,,0.014263172997509043,0.01582375544258471,0.029650696746023785,0.014265349750363764,,,0.007666268456952831,0.019365781294143573,0.012008601238833667,0.010684346079267205,0.017281237878667234,0.015819299929208316,
8,Acidothermaceae,,,,,,,0.008214123843159522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01045531018908469,,,,,,,,,,,0.007319577321252926,,,,,
9,Actinomycetaceae,,,,,,,0.011616525342008407,0.007679594626401523,0.010521071133233962,,,0.14768047876928017,,,0.036375663364581604,,,,,,,,,,,,,,,,,,,0.006738783154362946,,,,,,,,0.0100855863477755,,,0.01008712554448004,,,0.007666268456952831,0.007319577321252926,,,,,
10,Acuticoccaceae,,,,,,,,,,,,,,,,,,,,0.022481846213074776,,0.006947963546354251,0.006482718229087164,,,,,,,,,,0.007731984443077383,,,,,,,,,,,,,,,,,,,,0.006458202152434404,
11,Aerococcaceae,,,,,,,,,,,,,,,,,,,,,0.011266577585945386,0.006947963546354251,,,,,,,,,,,0.007731984443077383,,,,,0.01810912845638725,,,0.010338160945814785,0.0100855863477755,,,0.01008712554448004,,,,,,,,,
