,genus,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
0,Abiotrophia,,,,,,,,,,,,,,,,,,,,,0.01017419829045392,0.006245731915018548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Acaryochloris,,,,,,,,,,,,,0.006890654994433744,0.0069021347808064905,0.04279604925109129,0.01478927515693523,0.0071847683427342995,0.011379935175901225,0.01315903389919538,0.025529372484248334,0.017622228365346604,0.02163585001453317,0.005585459199057981,0.009549613182846722,0.010228874416494076,0.005240560426150853,0.008880093546950194,,,,,0.011581544149773007,0.02351402034474437,,0.039745310463099676,0.03238618159252687,0.017842924252406307,0.019732145347781047,0.011889942413819158,,0.023878433922183244,,,,,,,,,,,,,
2,Acetivibrio,,,,,,0.010800559483472241,,0.009705079366401251,,,,,,,,,,,,,,,,,,,0.005126924399760753,,,,,,,,,,,,,,,,,,,,,,0.006474560442849176,,,,,
3,Acetobacter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006139014195215962,,,,,,,,,0.005681634764234991,
4,Acetobacterium,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007250566019403197,,,,,0.006686607632502981,,,,,,,,0.005247337979167518,,,,,,,,,,,,,,
5,Acholeplasma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013154763565187364,,,,,,,,,,,,,,,0.005681634764234991,
6,Achromobacter,,,,,,,,,,,,,,,,,,,,,,0.006245731915018548,,0.009549613182846722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Acidiferrobacter,,,,,0.012773361087322455,,,,,,,,,,,,,,,,,,,,,,,,,0.010466758030233293,0.008519049661011911,,,,,,,0.009301822521849709,,,,0.008743717709783362,0.0069981422398202615,0.006139014195215962,0.00874505497639817,,,,,,,,,
8,Acidihalobacter,,0.02698903311400244,,,,,,0.013725054863871933,0.013234879103074857,0.01800998029439084,,,0.006890654994433744,,,,0.0050803984164018556,0.008046829332343082,,,,,,,0.0072329064638085505,,,0.007924786164912783,0.004305108998398522,0.012819108217624955,,,0.00922295758314379,,0.007511157661886797,0.005554184321286722,0.007608248464983839,0.009301822521849709,0.005317343897171515,0.007420856536494134,,,0.018515344006020947,0.013727253055339056,,0.010160534588237647,0.011512265177368372,0.009314726604036854,0.006474560442849176,0.007544645503543211,0.009495858335005063,,0.005681634764234991,0.020943716088387784
9,Acidisphaera,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007924786164912783,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Aciditerrimonas,,,0.0070525790266844895,,,,,0.006862527431935966,,,,,,,,,,,,,,,,,,,,0.007924786164912783,,0.007401115580216712,0.012047755569132962,,,,0.007511157661886797,,,,,,,,,,,0.007184582907823305,,0.009314726604036854,,0.007544645503543211,,,,
11,Acidithiobacillus,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007924786164912783,,,,,,,,,,,,,,0.008743717709783362,,,0.00874505497639817,0.007184582907823305,,,,,,,,
12,Acidothermus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009301822521849709,,,,,,,,,,,,,,,,
13,Acidovorax,,,,,,,,,,,,0.05557461733534295,,,,,,,,,,,,0.013505192478598734,0.0072329064638085505,,0.008880093546950194,,,,,,,,,,,0.009301822521849709,0.009209909791217363,0.005247337979167518,0.006893110126399594,,,,,,,,,,,,,
14,Acinetobacter,,,,0.009130992325248949,,,,0.006862527431935966,,,,0.1803996681410071,,,,,,,0.018609684207969417,,0.012460797176754513,0.012491463830037096,0.007899032151389361,0.39025099223850773,0.39131294052314913,0.31202245727125266,0.31320431092949147,,,,,0.011581544149773007,0.011295769999017522,0.005241640189716529,,0.007854802795083686,,0.046971901247594365,0.02711324029216106,0.026236689895837592,0.015413462819021659,,,,,,,,,,,,0.008035044940031585,
15,Actibacterium,,,,,,,,0.006862527431935966,,,,,,,,,,,,,,,,,,,,,,,,0.006686607632502981,,,,,,,,,,0.008743717709783362,,,0.00874505497639817,,,,,0.007544645503543211,,,,
16,Actinoalloteichus,,,,,,,,,0.009358472761968363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Actinobaculum,,,,,,,,0.006862527431935966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Actinocatenispora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006474560442849176,,,,,
19,Actinomadura,,,,,,,0.014941608361693344,0.009705079366401251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008743717709783362,,,0.00874505497639817,,,,,0.007544645503543211,,,,
20,Actinomyces,,,,,,,,,,,,0.0796784891516743,,,0.032350772404131305,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008743717709783362,,,0.00874505497639817,,,,,,,,,
21,Actinophytocola,,,,,,,,,,,,0.026198125853112306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Actinopolymorpha,,,,,,,,0.009705079366401251,,,0.008951077315796816,,,,,,,,,,,,,0.006752596239299367,,0.005240560426150853,,0.007924786164912783,,,,,,,,,,,,,,,,,,,,,,0.013067709337232917,,,,
23,Acuticoccus,,,,,,,,,,,,,,,,,,,,,,0.006245731915018548,0.005585459199057981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Adhaeribacter,0.008159256327467744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006714585821868878,,,0.009872962446229863
25,Advenella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006577381782593682,,,,,,,,,,,,,,,,
26,Aequorivita,,,,,,,,,,,,,,,,,,,,,,0.006245731915018548,0.007899032151389361,0.006752596239299367,,0.010481120852301707,0.007250566019403197,,,,,,0.00922295758314379,0.005241640189716529,,0.005554184321286722,,0.011392359428230208,,,,,,,,0.007184582907823305,,,,,,,,
27,Aeribacillus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006646609399135984,,0.009156411188681657,,,,,
28,Aeromicrobium,,,,,,,,0.006862527431935966,,,,,,,,,,,,,,,,0.009549613182846722,,,,,,,,,,,,,,,0.005317343897171515,0.005247337979167518,,,,,,,,,,,,,,
29,Aeromonas,,,0.009973852909245247,,0.00903213024339008,,,0.006862527431935966,,,,,,,,,,,,,,,,,,,,,0.01775041913019416,,,0.011581544149773007,,,,0.005554184321286722,,0.024610309132474004,0.007519859855181764,0.005247337979167518,,,,,,,,,,,,,,
30,Afifella,0.014132246511151978,0.017668469596940843,0.0070525790266844895,0.012913173184291707,0.00903213024339008,,0.007470804180846672,0.021701217190303785,0.022923483038557263,0.01800998029439084,0.02001521734997803,,,,,,,,0.01315903389919538,,,,,,,,,0.02096701338572452,0.011390247776788856,0.012819108217624955,0.008519049661011911,,,,,,,,,,,,0.012121137917962556,0.015037452301981826,,,,,0.017130076780235145,0.013067709337232917,0.023260007590517048,0.025434358851942042,0.021258730684551475,0.020943716088387784
31,Afipia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009748329827685625,,,,,,,,,,,,,
32,Agarivorans,,,,,,,,,,,,,,,,,,,,,,,,,0.0072329064638085505,0.009076916918228086,0.008880093546950194,,,,,0.011581544149773007,0.022591539998035044,,0.007511157661886797,0.009620129439071064,,,,,,,,,,,,,,,,,,
33,Aggregatibacter,,,,,,,,,,,,0.042107596053325945,,,,,,,,,0.007194244604316546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Agreia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007854802795083686,,,,,0.006893110126399594,,,,,,,,,,,,,
35,Agrobacterium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009301822521849709,0.005317343897171515,,,,,,,,,,,,,,,
36,Agrococcus,,,,,,,,,,,,0.04001829826262222,,,,,,,,,,,,,,,,,,,,,,,,,,0.006577381782593682,,,,,,,,,,,,,,,,
37,Ahrensia,0.02307786191436675,0.010200895677962514,0.012215425198612196,0.02236627204212922,0.02856210369240364,0.013227929835542418,0.012939812414624424,0.011886246180448265,0.02807541828590509,0.00900499014719542,0.023682324543709943,,,,,,,,0.01315903389919538,,0.022750198994017118,0.024189615691742994,0.017662772846963024,0.03308083045064013,0.03961626026552866,0.019608381629342534,0.014501132038806394,0.0194116824247039,,0.014802231160433424,0.017038099322023822,0.02589712000330745,0.03802722829589322,0.010483280379433057,0.007511157661886797,0.012419533701960642,,0.009301822521849709,0.005317343897171515,,0.006893110126399594,0.015144563320384568,0.009896867666969842,0.013727253055339056,0.015146879534104676,0.016065215771876015,0.009399725156054597,0.009314726604036854,,0.007544645503543211,,0.013282660709046374,0.022726539056939964,0.009872962446229863
38,Akkermansia,0.008159256327467744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010466758030233293,,0.014951709205145599,,,0.007511157661886797,,,,,,,,,0.008681877134475364,,,,,,,,,,
39,Albimonas,0.011538930957183375,,,,,0.010800559483472241,,,,,,,,,,,,,,,0.012460797176754513,0.006245731915018548,,0.006752596239299367,0.0072329064638085505,,,,,,,,,,,,,,,,,0.008743717709783362,0.0069981422398202615,,0.00874505497639817,,0.013293218798271968,0.016133579736805338,,0.010669739994407998,,,0.005681634764234991,0.006981238696129261
40,Alcaligenes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010466758030233293,,,,0.005241640189716529,,,0.0053798440825422135,,,,,,,,,,,,,,,,,
41,Alcanivorax,0.01824465179406316,,0.017275219986031428,0.018261984650497897,,,,0.009705079366401251,0.009358472761968363,0.015597100456599611,,,0.006890654994433744,0.009761092616343588,,,0.020947019291045546,0.02275987035180245,0.01315903389919538,0.02084464534661913,0.05888743001347086,0.05150362478982548,0.07020813347017527,0.03443161999160072,0.030686623249482226,0.026721719875105323,0.022928302946734702,,0.007456667517348201,0.007401115580216712,0.017038099322023822,0.034744632449319024,0.030589089760651018,0.02822709628132327,0.018398503649218988,0.019240258878142128,0.02465354273530995,0.01611122921083216,0.01063468779434303,0.018177311968807883,0.07582421139039552,0.015144563320384568,0.017141877634977425,0.015037452301981826,0.015146879534104676,0.007184582907823305,0.014862270436357091,0.0065865063466132,0.009156411188681657,,0.018991716670010126,,0.013917106077233931,0.006981238696129261
42,Algibacter,,,0.033822980816827615,,,,,,0.016209350304978644,,,,,,,,,,,,,,,,0.0072329064638085505,,0.005126924399760753,,0.008610217996797044,,,0.013373215265005962,,,,,,0.006577381782593682,,,0.009748329827685625,,,,,,,,,,,,,
43,Algiphilus,,,0.0070525790266844895,,,0.010800559483472241,,,,,,,,,,,,,,,0.007194244604316546,,,,,,,,,,,,,,,,,,,,,,,0.006139014195215962,,,0.009399725156054597,,,,,,0.008035044940031585,
44,Algoriphagus,,0.010200895677962514,,,,,,,,,,,0.004872428873381052,0.004880546308171794,,,,,,,,,,,0.0072329064638085505,,0.005126924399760753,,,,,,,,,,,,,,0.013786220252799188,,0.0069981422398202615,,,,,,,,,,,
45,Alicyclobacillus,,,,,,,,0.006862527431935966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011214267643690422,,,,,
46,Aliiglaciecola,,,0.012215425198612196,,,,,,,,,,,,,,0.0050803984164018556,,,,,,,,,,,,0.011390247776788856,,,,0.006521615849636865,0.005241640189716529,,,0.007608248464983839,,0.011889942413819158,0.005247337979167518,,,,,,,,,,,,,,
47,Aliihoeflea,,,,,,,0.007470804180846672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007184582907823305,,0.0065865063466132,,,,,,
48,Aliiroseovarius,,,0.0070525790266844895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005241640189716529,0.007511157661886797,,,0.011392359428230208,,,,,,,,,,,,,,,,
49,Aliivibrio,,,0.03926709817081634,0.012913173184291707,,,,,,0.022057630999418765,0.008951077315796816,,,,,0.020915193504605287,,,,,0.007194244604316546,0.006245731915018548,0.011170918398115962,0.011695839769465033,0.010228874416494076,0.012836699010291957,0.008880093546950194,,0.06514812076163863,,,0.03955850423217047,0.03966944052717011,0.012839343880070707,0.02708186408802706,0.02356440838525106,0.010759688165084427,0.006577381782593682,,,0.011939216961091622,,,,,,,,,0.010669739994407998,,,,
