,orderx,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
0,Acholeplasmatales,,,,,0.01644212078889967,,,0.015192843627821058,,,,,,0.012586834008898101,,0.03601412030328099,0.006865114380451918,0.006343614796955512,0.029471311362051025,0.032593296031172385,0.021080914159090743,0.016586234162292005,0.00787939133737624,,0.013542603483978068,0.006974274018039464,0.009836118442057921,0.03206676838974329,,0.026558293865017596,0.032382560534434064,0.016556654463313048,0.026454702447819355,0.008697625394052791,0.03218558065671559,0.03135589413504719,,0.031855187123707836,,0.007705312834057299,0.04017569630677743,0.020388359123557322,0.012624894069692605,,0.02037847864848056,0.0222101607186349,,0.009038399867637334,0.011886246180448265,0.02380727455121172,0.017309044629631138,,0.016383758769094352,
1,Acidaminococcales,0.01049380916700931,,,,,,,,,,,,,,,,,,,,,0.008293117081146002,,,,,,,0.015324883138633585,0.009389774844349512,,,0.013227351223909677,,,,,0.027938847323373973,0.007644285958333447,,0.0171309744653808,,0.012624894069692605,0.007917331283047413,,,,,,0.016834285276731725,,,,
2,Acidiferrobacterales,0.033184338298903694,0.03489416944708647,0.011710533209110913,0.02992081462322006,0.023252670213838526,0.02739542432871439,0.019332923050097674,0.026314777074835136,0.031988157434436344,0.02804963567266072,0.03040490965998074,,,,,,0.006865114380451918,0.008971226080325133,,,,,0.011143142092562557,0.015734866893226687,0.013542603483978068,0.00986311290401771,,0.03794191203597962,0.00625635734290564,0.05056548503870786,0.032382560534434064,0.009558988911273407,,0.012300299792710091,0.013139708280690917,0.0068424170646131256,,0.01975574840089336,,0.007705312834057299,0.0085654872326904,0.020388359123557322,0.03092454852743621,0.02503679984453309,0.02037847864848056,0.03294299206393834,0.008925725668681274,0.01807679973527467,0.022237130411043898,0.027490272741626826,0.03772418817489877,0.0259449734676181,0.02198111900079195,0.01787068206435081
3,Acidimicrobiales,0.10119863075914419,0.141433655350803,0.2362511192205608,0.18444428864361664,0.16400963976443056,0.14716505475066516,0.18669038124361967,0.06906758729670578,0.08549194682417607,0.0759587724802475,0.08599807120774698,0.06096326178489422,0.01625898048592805,0.019226706535206674,,0.050931657369836215,0.011890726906714456,0.008971226080325133,0.024063224962571104,0.018817748237374535,0.15577069628575593,0.16059552171713365,0.21650411064198616,0.18146333736494996,0.1633554617317067,0.18119695417727838,0.20934994478338168,0.21511042181462242,0.07349555764734252,0.22100905158313927,0.20766539932247627,0.1033962739835639,0.10457139319642611,0.054316653176678754,0.06503823779662705,0.06043059126234406,0.05274472669282288,0.04839150306899345,0.041869478553992256,0.04558524548002439,0.0513929233961424,0.1294834709115264,0.12905828452027118,0.15695497735239186,0.1299544174281153,0.1336306209562122,0.13057210974969707,0.1388505334216774,0.0861240357494155,0.07273242514768234,0.07643467149674922,0.07139078307504466,0.08853295714587411,0.091994966450863
4,Acidithiobacillales,0.01817581064219216,0.013188756366162716,,0.024430242838431485,0.023252670213838526,0.020708994238533392,0.01674280249079432,0.012404904876685484,0.012090387067242926,,,,,,,,,,0.017015269548251433,,,,,,,,,0.014340694787641495,0.00625635734290564,0.009389774844349512,,,,,,,,,,,,0.023542449256641167,0.012624894069692605,,0.023531040266750583,0.028093878027715367,0.015459810352577657,0.022139467766950485,0.018793805379846637,0.013745136370813413,0.019352100208716447,0.016984972116997264,0.010361998869018972,0.02188702620658331
5,Acidobacteriales,0.031481427501027934,0.02949095577342294,0.011710533209110913,0.04730896182852408,0.03676569977824213,0.02536323448532174,0.013670440988881778,0.03823448466366907,0.02961527910748994,0.025605696979529784,0.038114571352600816,,0.012594152129662143,0.010277106932970124,,,,,,,0.026665481560487977,0.008293117081146002,,0.009084529636467359,0.009576066758441457,,0.009836118442057921,0.014340694787641495,0.008847825405389658,0.02816932453304854,0.028044120062407286,,0.018706299495125426,,,,,0.012494632365610452,0.007644285958333447,0.007705312834057299,,0.035313673884961747,0.03570859283376588,0.042636133791892,0.035296560400125875,0.017203916515972625,0.0357029026747251,0.025564455349927812,0.034654064844241265,0.0445393323417483,0.03671802850041831,0.031010174556918926,0.034366862326622935,0.039960059900174684
6,Acidothermales,,,0.016561194886945175,,,,0.009666461525048837,,,,,,,,,,,,,,,,,,,,,,,0.009389774844349512,,,,,,,,0.012494632365610452,,,,,,,,,,0.009038399867637334,0.008404845277047667,,,,,
7,Actinomycetales,,,,,,,0.013670440988881778,0.021485925509478195,0.02418077413448585,,,0.1713116656481197,,0.007267012003282456,0.0449580119646998,,0.006865114380451918,,0.017015269548251433,,,0.008293117081146002,,,,,,,,0.009389774844349512,,,,0.008697625394052791,,,,,,0.010896957912251301,,0.011771224628320583,,,0.011765520133375292,0.014046939013857684,,0.009038399867637334,0.011886246180448265,0.013745136370813413,0.008654522314815569,0.009806278223926658,,
8,Actinopolysporales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008697625394052791,,,,,,,,,,,,,,,,,,,,
9,Aeromonadales,0.031481427501027934,0.022843596114841304,0.060849715505708134,,0.0284785885905587,0.02536323448532174,0.013670440988881778,0.021485925509478195,0.02418077413448585,0.019834087593950483,,,0.007271237122275537,,,0.020792762051726844,,,,,,0.016586234162292005,,0.009084529636467359,0.009576066758441457,0.00986311290401771,0.009836118442057921,0.017563692393356013,0.0891393709986348,0.018779549688699024,,0.02341464528954235,0.018706299495125426,0.008697625394052791,,0.01676043041561443,,0.041440007450160556,0.013240291667418877,0.015410625668114597,0.0171309744653808,,0.012624894069692605,0.01119679727828643,,0.009932685831612643,0.03218216156915543,0.02997698106615095,0.008404845277047667,0.009719279136136016,0.008654522314815569,0.019612556447853317,0.017947508509112104,0.01787068206435081
