,phylum,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
0,Acidobacteria,0.314365057941231,0.3741962119224402,0.10467004518330478,0.22245855433553618,0.26836429591565386,0.16418680473461225,0.02769509372944324,0.3013692763681246,0.3246429127466302,0.31620226686217673,0.30158439986565344,0.14711785662869525,0.012348314202821845,0.007829722923535853,,0.046028730894916166,0.011162563705717722,0.010234765854455704,0.040291148201269014,0.06833578749992927,0.08273573806879878,0.07786777244932315,0.014307044763489565,0.05577051014343381,0.04724681463854719,0.018771276394456946,0.018620973068096465,0.23424606849358912,0.05767600172405831,0.2573710834095109,0.20997942869877362,0.057928444636349226,0.07244855262640612,0.008543888403602633,0.04359654682522033,0.05272606538753237,0.0196354170048961,0.06587443126365883,0.008430792202464394,0.011914686500685818,0.04799600689833218,0.16503162995114426,0.3143084159985987,0.3150403409649528,0.16499103009896948,0.15067992708373407,0.15246677329924557,0.15308318424668793,0.3094880029521603,0.3210133032576411,0.2967754091817744,0.3092430030738293,0.3754131133847808,0.3261347254768084
1,Actinobacteria,0.25814055948780457,0.36022291337505236,0.2672407172998754,0.29763653238551663,0.30045601394362,0.31019480612667993,0.3442445562060043,0.351850474434134,0.365260974972494,0.3516955038997689,0.33962822970174206,0.8266777295842365,0.3190552061537564,0.3123068309297996,0.2334833621671116,0.22392240383189244,0.3133977976193768,0.27944846953815905,0.23028309323591914,0.23530883287973023,0.32043413567663664,0.3284126156506655,0.3684445991002346,0.28469177188067746,0.2631601325834608,0.337099931231621,0.3611426508540642,0.6315189541175265,0.32713228018320234,0.6000609672012548,0.7242432615404802,0.21674839277792138,0.21974734026714057,0.23899991157768485,0.1740225035112772,0.17015604127832085,0.1901697993102167,0.2570134832434845,0.24024059776574222,0.2690055479173362,0.23586509444629936,0.2723217707816867,0.3162986293826612,0.34450553610742146,0.27195344266142646,0.2580821369083872,0.29396799008252866,0.29235693725842593,0.3586774027668757,0.29217198898661706,0.31117628065076364,0.3127457180963365,0.24836982760729703,0.2516184034001937
2,Aquificae,0.010627478650280318,,,,,0.01606127824432846,,0.01681206597847716,0.0325185340715111,0.012698988629324323,0.017975032046140385,,,,,,,,,,,,,,,,,0.012648098833237536,0.0038622707457316384,,,0.018631743485486168,0.010245772569856445,0.008543888403602633,0.022513159974164025,,0.008781225437900601,,,,,,,0.011781840740656828,,,,,0.03457095748234885,,0.00935683394350523,0.018547162802488575,0.015101330108226502,0.027115199602912005
3,Armatimonadetes,,,0.007155096986834278,,0.011942054429810793,,,0.00970645081830754,,0.028395801820666065,0.022014828311609898,,,,,,,,,,,,,,0.01458068354753167,,0.007038066272602094,0.012648098833237536,0.006689649164194135,0.027998282824645185,0.03452040543303586,,,,0.01591920808366894,0.014262447634628238,,0.015526752351113423,,,,,0.013389988700528052,,,0.030069238966213184,0.01020993031082701,0.019721909504608663,0.022632004215709083,0.026080548100648613,,0.023944284217811976,0.007550665054113251,0.009038399867637334
4,Bacteroidetes,0.30691157399720975,0.32212238019442374,0.5065485262141396,0.35954731955111696,0.3184299045429696,0.3600378328286816,0.0853620117996591,0.2428553218845073,0.24298403393488274,0.27206675523359736,0.26079287580584404,0.47830384831096195,0.31986662769071655,0.300808131744456,0.6712646662304459,0.6643675043159174,0.27342585300319344,0.26203799006751194,0.5175491695067657,0.4443703147726013,0.5770728636388656,0.586715592119239,0.528276851487221,0.3319857964714471,0.3348005621606193,0.3370252607397909,0.3590793546838559,0.1368101066411226,0.3565442849636437,0.17334834075719183,0.18047713436279222,0.8014537820589982,0.7680913410585436,0.6679823744589225,0.49117916189778993,0.4636940856262368,0.43809427222457265,0.7360073686269013,0.5039117717499291,0.5415942600774932,0.381862456558765,0.42482443413242027,0.2760416886905206,0.26437043484178446,0.42491293264382574,0.40054714437678196,0.3645674328759067,0.34583705297611167,0.24445358467880685,0.25330823249693224,0.22976695996626229,0.23824261987233228,0.2845308607486331,0.28795496566271644
5,Balneolaeota,0.010627478650280318,,0.018930607233711094,0.012011632893689353,0.011942054429810793,0.011357038761088619,0.019583388581686345,,0.01327563594308529,0.012698988629324323,,,0.01991105837202509,0.01660935052213188,0.02918542027088895,0.053149400345273386,,,,,0.045183532168260064,0.03951939105271952,0.0748902391389368,0.015012916664888054,0.01458068354753167,0.023531040266750583,0.01927453829360235,0.012648098833237536,,,0.019930365369298274,0.018631743485486168,0.02049154513971289,0.020928167008108792,,,0.006209264054267325,0.02454995104744642,0.02308867533464205,0.02729997638553064,,,0.009468151810154634,0.014429749022671929,,0.010023079655404395,0.014439021916455708,0.01394549594865621,0.018478954061668346,0.023808174178039602,0.01620651178813612,0.026229649178821122,0.007550665054113251,0.020210476511862183
6,Caldiserica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013066593726240383,,,,,
7,Calditrichaeota,0.0628730115882462,0.02135650584892708,0.010118835198875903,0.050961042433506805,0.04468307617055803,0.12748244391691563,0.03663716527236559,0.07263642680735674,0.07024806240326821,0.07619393177594594,0.06844688281701893,,,,,,,0.005117382927227852,,0.025828499910081307,0.010958616215778212,0.01355503930246984,,,0.007290341773765835,0.0070948755901414666,,0.02190714979832005,0.006689649164194135,0.027998282824645185,0.03986073073859655,0.01521275485262189,0.014489710525281224,0.006041441427888528,0.011256579987082013,,,0.01097907187727647,,,,0.1024715090758029,0.05355995480211221,0.049986116895470264,0.10244629979851565,0.10416289926882219,0.1425739176905408,0.12276789660649878,0.0805478933371428,0.08178376404130643,0.07125952430298167,0.059620786891493055,0.05897257929176772,0.07775125555501138
8,Candidatus_Abawacabacteria,0.010627478650280318,,,,,0.011357038761088619,,0.00970645081830754,0.01877458439983895,0.012698988629324323,,,,,,,,,,,,,,0.006713980440645823,0.007290341773765835,0.008689412492187135,0.007038066272602094,,,0.01616481612565617,,0.010757042116817496,0.017746198653786908,0.008543888403602633,,,,0.015526752351113423,,,,,,0.008331019482578379,,,0.014439021916455708,,0.016003243652770425,,,0.023944284217811976,,
9,Candidatus_Adlerbacteria,,,,,,,,,,,,0.061352387344530246,0.005522333993007155,,,,,,,,,,0.006398304929659014,0.006713980440645823,,0.011217983290189153,0.007038066272602094,,,,,0.010757042116817496,,0.006041441427888528,,0.008234427981155555,0.006209264054267325,0.01097907187727647,,,,,,,,,,,,,,,,
