,species,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
0,Abiotrophia_defectiva,,,,,,,,,,,,,,,,,,,,,0.009669624412490635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Acetobacterium_bakii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006289805787318759,,,,,,,,,,,,,,,,,,,,,,
2,Acetobacterium_woodii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004829621853480956,,,,,,,,,,,,,,
3,Acidiferrobacter_thiooxydans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006812185090073864,0.005984055780468384,,,,,,,,,,
4,Acidihalobacter_ferrooxidans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005984055780468384,,,,,,,,,,0.0067452187021695125
5,Acidihalobacter_prosperus,,,,,,,,,0.009081906703068824,0.008705861627592836,,,,,,,,,,,,,,,,,,,,0.01020063031642148,,,,,,,,,,,,,,,,,,,0.006255133270317981,0.007369294804756365,,,,
6,Aciditerrimonas_ferrireducens,,,0.005964438669103368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006880209161537814,,,,,,,,
7,Acidithiobacillales_bacterium_SM1_46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005513932701108652,
8,Acidobacteria_bacterium_ADurb.Bin051,0.019186472932873882,0.031659205646937014,0.005964438669103368,,0.015140512501900431,,,0.021005436910699796,0.01573032383931556,0.02303354481515066,0.008652254400646401,,,,,,,,,,,0.0059308809729533415,,,,,,,0.003347197126085999,0.01020063031642148,0.008154643128210896,0.008895128649118973,,,,0.007652451200079717,,,,,0.006621209924782655,,0.018023347633277582,0.01465788325449969,,,,0.006379658352924606,0.016549527050827538,0.01805101203579608,0.017272949558868548,0.007447769466384313,0.033539943228889764,0.028617539309342317
9,Acidobacteria_bacterium_Ga0074141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006289805787318759,,,,,,,,,,,,,,,,,,,,,,
10,Acidobacteria_bacterium_JGI_0001001-H03,,,,,,,,,,,,,,,,,,,,,,0.0059308809729533415,,,,,,,0.004733651571647067,,,,,,,,,0.006236736675502887,,,,,,,,,,,,,,,,
11,Acidobacteria_bacterium_SCN_69-37,,,,,,,,,0.009081906703068824,,,,,,,,,,,,,,,,,,,,,,0.008154643128210896,,,,,,,,,,,,,,,,,,0.010834208632305211,,,,,
12,Acidobacteriaceae_bacterium_KBS_96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00884609430533486,0.01042175665801204,,,,
13,Acidovorax_sp._CCH12-A4,,,,,,,,,,,,0.04682548749379974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006621209924782655,,,,,,,,,,,,,
14,Acinetobacter_baumannii,,,,,,,,,,,,,,,,,,,,,,,,0.005638749098809024,,0.006189666744470262,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Acinetobacter_parvus,,,,,,,,,,,,,,,,,,,,,,,,0.01870161504770418,0.020042681696348093,0.011579806148058086,0.006068524270029635,,,,,,0.0061202444572381175,,,,,,,,,,,,,,,,,,,,,
16,Acinetobacter_pittii,,,,,,,,,,,,,,,,,,,,,,,,0.011277498197618047,0.010466949146299339,0.008753510656599567,0.011353169330886663,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Acinetobacter_sp._ALBL_107,,,,,,,,,,,,,,,,,,,,,,,,0.046838967821174825,0.048344767257680374,0.028364616383085864,0.041381818313616314,,,,,,,,,,,0.012473473351005774,0.004896375306430822,,,,,,,,,,,,,,,
18,Acinetobacter_sp._LCT-H3,,,,,,,,,,,,0.05909281149437905,,,,,,,,,,0.0059308809729533415,,0.047846372702128735,0.041867796585197355,0.030948333722351312,0.03590187374717168,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Acinetobacter_sp._NIPH_899,,,,,,,,,,,,,,,,,,,,,,,,,,0.004376755328299784,0.004291094663133098,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Actibacterium_atlanticum,,,,,,,,0.006642502388478226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Actibacterium_mucosum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006289805787318759,,,,,,,,,,,,,,,,,,,,,,
22,Actinobacteria_bacterium_BACL15_MAG-120619-bin91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007096930017551854,,,,,,,,,,,,,,,,,
23,Actinobacteria_bacterium_Ga0077541,,,0.008434990057788515,0.019613122273563207,,0.01049380916700931,0.0250962562001534,0.024853968128513104,0.027245720109206475,0.01946689840200454,0.02289171342417459,,,,,,,,,,0.011842822907480814,0.0059308809729533415,0.00879100355341373,0.015948790900709577,0.006043095907210047,0.006189666744470262,0.008582189326266197,0.047789026912197496,0.008198925027420987,0.03225722536925595,0.06047645203024269,0.006289805787318759,,,,0.012099587737770397,,0.00882007759144587,,,0.006621209924782655,0.011854050502428659,0.01668637750407643,0.01795216734140515,0.011854050502428659,,0.009111640951564104,0.016878989451394443,0.02255320374099223,0.012763993017791393,0.01846555980237548,0.027867001638886283,0.009550411587835681,0.0067452187021695125
24,Actinobacteria_bacterium_IMCC19121,,,,,,,,,,,,,,,,,,,,,,,,,,0.006189666744470262,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Actinobacteria_bacterium_IMCC26077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005411100136275502,,,,,,,,,,,,,,,,,,
26,Actinobacteria_bacterium_IMCC26103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007310769751261449,,,,,,,,,,,,,,,,,,,
27,Actinobacteria_bacterium_IMCC26207,,0.014158427188039275,,,0.012362176691295194,,,0.006642502388478226,0.009081906703068824,0.008705861627592836,0.012236135518496435,,,,,,,,,,,0.0059308809729533415,,,,,,0.013427557366577973,0.006694394252171998,0.02040126063284296,0.016309286256421793,,,,,0.010822200272551003,,,,,,0.011854050502428659,0.009633884543778243,0.010364688647097471,0.011854050502428659,0.006880209161537814,0.009111640951564104,0.009022199366012779,0.00884609430533486,0.007369294804756365,0.0065285612773327145,,,
28,Actinobacteria_bacterium_IMCC26256,,,0.005964438669103368,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01020063031642148,0.018234336366931097,,,,,,,,,,,,,0.008462732842735503,,,,,,,,,,
29,Actinomadura_sp._CNU-125,,,,,,,0.01448933027281038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Actinomyces_sp._oral_taxon_448,,,,,,,,,,,,0.04976801795831442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Actinopolymorpha_singaporensis,,,,,,,,0.009393916965881583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
