,class,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
0,Aconoidasida,,,,0.07481320020807247,0.049446817643414874,,0.04343722427630694,,0.10660035817780522,,,,,,0.014365088141937361,,,,0.017973580280839296,0.008340866684430747,,0.019932344846421823,,,,,,0.10482848367219183,,0.030206104666508846,,0.019067518452927635,0.01815333528965787,,,,,0.012807887989463999,,,0.020088585092257694,,,0.05809111961158765,,,,,,,,0.05337605126836238,,
1,Actinopteri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01815333528965787,0.04141576832812911,0.014930362951083683,0.01768503983206007,,,,,,,,,,,,,,,,,,
2,Agaricomycetes,,0.09759000729485333,,,,,0.06142951168339512,,0.07537783614444091,0.08944271909999159,0.07035975447302918,0.2267911451998258,0.04607756775840914,,0.014365088141937361,0.035311227577322434,0.09044312632922692,,0.012709240498782278,,0.032094832698578324,0.019932344846421823,0.03551104121142175,0.060925794923071507,0.06313087395543333,0.06327719971683327,0.0659380473395787,0.04852615860619696,,0.07398954355004851,0.0543526425198644,0.03813503690585527,0.04059209172602084,0.05857074126574227,0.05383218918142007,0.06210781875866462,0.04040610178208843,0.033886486440092796,0.13303802104754786,,0.028409549486356805,,,0.047431200545124896,,,,0.04867923835112355,0.0772283284276542,,,,0.03683547343418786,
3,Allomalorhagida,0.06900655593423542,,,,,,,0.2555032272003473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05447347107028433,,,,
4,Anthozoa,,,,0.04319342127906801,0.049446817643414874,,,,,,,,,,0.014365088141937361,0.05237501450728586,,0.03806934938134405,0.03594716056167859,0.018650744897650437,0.2753429894620531,0.18104451279678704,0.15478904002049557,0.0882898647791305,0.07122123116119197,0.08370786705565378,0.0659380473395787,0.06264700137907352,,0.0854357657716761,,0.04670569087077522,0.04446640858932085,0.04141576832812911,0.02586014720672094,0.02887954911289539,0.04040610178208843,0.0405020980630209,,0.05423261445466404,0.12464639250231757,0.015422992461890894,0.055131784641997125,0.06707784709055377,0.015423909705488712,0.04916711622915971,,,,0.05447347107028433,0.04740454631399772,,0.03683547343418786,
5,Appendicularia,,,,,,,,0.05447347107028433,,,,,0.23495041713902196,0.20548046676563256,0.17297856749382642,0.2816056562569549,0.48914599423994226,0.4406845794337767,0.20493034537259427,0.12622021654182547,0.10350272544178349,0.07323611137639109,0.16656154734579187,0.21540521369642396,0.17652031126716006,0.2346381364038145,0.23078316568852544,0.04852615860619696,,,,0.17527603078004186,0.15563243006262298,0.4223596217511367,0.02111472177657533,0.027014344566241463,0.08571428571428572,0.08686732273145169,0.10517579047791781,0.07669649888473705,0.05501485601695769,,,,,,,,,,,,,
6,Arachnida,0.1543033499620919,0.06900655593423542,,0.12216944435630522,0.15636456680019054,,,0.09435081955836586,,,0.07035975447302918,0.10335614438243318,,,0.04764360744718984,0.022332781224177665,,,0.022013050269502923,0.020430867389435052,0.02029855448991117,0.014094296205853604,,,,,,0.07412493166611012,,0.11302089465110965,0.06656812017278434,0.03567206063342256,0.022233204294660424,,0.014930362951083683,0.010210462507669136,0.04040610178208843,0.0405020980630209,,,0.08522864845907042,0.030845984923781787,0.11695217633781757,0.10061677063583065,0.030847819410977424,0.07510401060760537,0.055131784641997125,0.06884283908215143,0.06305666611194316,0.09435081955836586,0.06704015231539909,0.10675210253672476,0.07367094686837572,
7,Archiacanthocephala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01811308890005546,,,,,,,,,,,,,,,,
8,Ascetosporea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04471729452616792,0.05134538593788056,,,,,,,,,,,,,,,,,,,,,
9,Ascidiacea,,,,,0.08564440043098774,,,,0.10660035817780522,,,,0.04607756775840914,,0.024881062517040708,,,,0.017973580280839296,,0.01435324552810083,,,0.01926642802132291,,,,,,,,0.17001128099700472,0.1663780661615406,0.11714148253148454,0.039502027352499844,0.02887954911289539,,0.012807887989463999,,,,,0.06752237049095156,0.24873131405529952,,,,,,,,,,
10,Atractiellomycetes,,,,,,,,,,,,,,,,,,,,,,,,0.027246843806239894,,0.03163859985841663,,,,,,,,,,0.010210462507669136,,,,,,,,,,,,,,,,,,
11,Bacillariophyceae,0.2672612419124244,0.1543033499620919,,0.3428371529353781,0.33169933656513484,0.9148111458788166,1.0,0.15407424315426907,0.15075567228888181,0.15491933384829668,,,,0.04714045207910317,0.09848208260543935,0.09861889162597681,0.04522156316461346,0.09325048082403138,0.1386414457968851,0.08747974780038603,0.298326606098177,0.3182940222884386,0.12301385521570944,0.1733978521919062,0.19129611312975162,0.10493336462255945,0.0659380473395787,0.2293256786231781,,0.2667730931178758,0.18828307674006725,0.3751022401982009,0.3446744280636656,0.09260847332207951,0.20252529660415505,0.18688214855323457,0.02857142857142857,0.1589417100436542,0.06651901052377393,0.10846522890932808,0.21729127080496985,0.12857633687941283,0.28111804570873833,0.28060676663315687,0.12858398363292875,0.4191238318952171,1.0,0.8116451025613648,0.16076358548345154,0.21789388428113732,0.14990633779917228,0.16012815380508713,0.2876942444512339,0.3175176194986636
12,Bangiophyceae,,,,,0.049446817643414874,,,,,,,,,,,,,,,,0.01435324552810083,0.019932344846421823,,,,,,,,,,0.019067518452927635,0.01283634648447014,0.04141576832812911,0.014930362951083683,0.01768503983206007,,0.012807887989463999,,0.05423261445466404,,,,,,,,,,,,,,
13,Basidiobolomycetes,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04662524041201569,,,0.06041220933301769,0.03843312210120439,,,,,,,,,,,,,,,,,,,,,,,
14,Bigyra,,0.06900655593423542,,0.04319342127906801,0.09889363528682975,,0.04343722427630694,0.05447347107028433,,0.08944271909999159,,,0.10303257374565544,0.08164965809277261,0.028730176283874722,0.022332781224177665,0.07832604499879574,0.08512565307587486,0.03594716056167859,0.014446804876592622,0.05558988089436059,0.061435612841644595,0.07940510210053552,0.07706571208529164,0.0659380473395787,0.11407459407340888,0.1318760946791574,0.06264700137907352,,0.10018231555701317,,0.055590891426548064,0.07146975250517128,0.12424730498438734,0.02111472177657533,0.038204052464198605,0.09476070829586856,0.028639308192644614,0.08146881698903526,0.05423261445466404,0.05121604369294555,0.01888923091921201,0.038984058779272523,,0.018890354308604255,,0.09549105211188455,,,,0.04740454631399772,,,
15,Bivalvia,0.3518657752744984,0.11952286093343936,0.1435916317235476,0.3401053392568908,0.049446817643414874,0.10314212462587934,,0.05447347107028433,,,0.07035975447302918,,,0.06666666666666667,0.16124771447381603,0.08356161583465076,0.07832604499879574,,0.11922324386174915,0.07319080811586522,0.08491494569066228,0.09024752964525905,0.0710220824228435,0.10194835439389331,0.08075728530872482,0.04474373701426829,,0.04852615860619696,0.24743582965269675,0.11698774032718691,,0.11036124187601666,0.11834526708278773,0.09260847332207951,0.07002960968564675,0.05953671570634025,0.04948716593053935,0.09669743378594596,,,0.188447632218559,0.1917047563470699,0.2403138778315132,0.10605938867332435,0.19202612724177842,0.07510401060760537,0.07796811755854505,,0.08917559241354196,0.17226024063738865,0.1896181852559909,0.18490006540840973,0.2210128406051272,0.3578622571540171
16,Blastocladiomycetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013482771598464758,,,,,,,,,,,0.038984058779272523,,,,,,,,,,,
17,Branchiopoda,,,,0.07481320020807247,0.06992836012750656,,,,,,,,0.04607756775840914,0.04714045207910317,,,,,,0.008340866684430747,0.02029855448991117,,,,,,,,,,,0.026965543196929516,0.01815333528965787,,0.014930362951083683,0.014439774556447694,,,,,0.028409549486356805,,,,,,,,,0.10894694214056866,,,,
