,family,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
0,Acanthamoebidae,,,,,,,,,0.06108472217815261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027837398347220068,,,,,,,,,,,,,
1,Acanthoecidae,,,,,,,,,,,,,0.03170213124741207,,0.022264040931247904,0.019787437382135124,,,0.012726725805353542,0.015688711546245397,0.021012855394742028,0.01614935076204746,0.0417149758616362,0.04429653908552456,0.03185456550449977,0.022054054569561544,0.023363465675799888,,,,,,0.013434624130588352,,0.023298695798810796,0.021673223139455043,,0.014293981904335416,,,0.03140482078567693,,,0.028759865427152538,,,,,,,,,,
2,Acanthogorgiidae,,,,,,,,,,,,,,,,,,,,,,,,0.01335590905981797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Acaridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04965975478570227,,,,,,
4,Acavomonidia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03511474936103118,,,,,,
5,Acholadidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03280893574623933,,,,,,,,,,,
6,Acinetosporaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009768308314557043,0.013434624130588352,,,,,,,,,,,,,,,,,,,,,
7,Acrochaetiaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009768308314557043,0.009499713825431449,,,,,,,,,,,,,,,,,,,,,
8,Acroporidae,,,,,,,,,,,,,,,0.009956781795221607,,,,,0.00701620509935811,,0.013185889681414318,,,,,,,,,,,,,0.01041949351864594,0.007224407713151682,,,,,0.008393291405217137,,,,,,,,,,,,,
9,Actinopodidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025031308716087945,,,,,,,,
10,Agalmatidae,,,,,,,,,,,,,,,,,,,0.008999154119267315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Aglaopheniidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013814474099888441,0.016453987003011768,0.031023602427884885,,0.007224407713151682,,,,,,,,,,,,,,,,,,
