,genus,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
0,Abarenicola,,,,,,,,,,,,,,,,,,,,,,,,0.018388132451298365,0.01266330148967263,,0.03945661007840241,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Abra,,,,,,,,,,,,,,,,,,,,,0.018242223059788013,0.018142128834308966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Acanthamoeba,,,,,,,,,0.06085806194501846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026854601206853766,,,,,,,,,,,,,
3,Acanthogorgia,,,,,,,,,,,,,,,,,,,,,,,,0.013002373149669486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Acavomonas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03145027318612195,,,,,,
5,Acotyledon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044477402880152554,,,,,,
6,Acremonium,,,,,,,,,,,,,,,,,,,,,,0.01571154444924173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Acrochaetium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009418885337109295,0.009160444131083072,,,,,,,,,,,,,,,,,,,,,
8,Acropora,,,,,,,,,,,,,,,,,,,,,,0.012828422323899866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Aegagropila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038461538461538464,,,,,,,
10,Aglaura,,,,,,,,,,,,,0.05447347107028433,,,,,,0.019547811329657872,0.013598835989456822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Akashiwo,,,,,,,,,,,,,,,,,,,,,0.01579822859127871,0.03394081518234833,,,0.01266330148967263,,,,,,,0.009418885337109295,,,,,,,,,,,,,,,,,,,,,,
12,Albugo,,,,,,,,,,,,,,,,,,,,,,0.012828422323899866,0.03293324609693921,,,,,,,,,0.009418885337109295,0.009160444131083072,,,,,,,,,,,,,,,,,,,,,
13,Alexandrium,0.14364100137662184,,,0.05838742081211422,,,,0.12027695586485274,0.18257418583505536,0.2471208252860862,0.11128297681493145,,,,0.02891171793279635,0.03325643972842159,,,0.01748409397778222,0.013598835989456822,,,,,,,0.02278028445007573,,,,,,0.015866354654932018,,,0.020023039751197107,,0.03075443337890132,,,0.014024358089142472,,0.031158847642487792,,,,,,0.1270001270001905,0.12921914767618442,0.1059254282664752,0.09615088296963141,0.08006407690254357,0.09595886165829118
14,Allium,,,,,,,,,,,,,,,,,,,,,0.009121111529894007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Amathia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015866354654932018,,,,,,,,,,,,,,,,,,,,,
16,Ammopiptanthus,,,,,,0.06900655593423542,0.06080179003104816,,0.12171612389003691,0.06178020632152155,,0.15841214781686794,,,,,,,,,0.009121111529894007,,,,,,,,,,,0.009418885337109295,0.009160444131083072,,,,,,,,,,,0.039088155249705214,,0.037254866152587225,0.07692307692307693,,0.048001536073731935,,,0.03925343359894298,,
17,Amphicorina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009160444131083072,,,,,,,,,,,,,,,,,,,,,
18,Amphiporus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23570226039551584,
19,Amphiroa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007079213594019637,,,,,,,,,,,,,,,,,,
20,Amphisamytha,,,,,0.040356715613563084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Amphisbetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009418885337109295,0.009160444131083072,,0.010213124740788105,0.014158427188039275,,,,,,,,,,,,,,,,,,
22,Amphitrite,,,,,,,,,,,,,,,,,,,,,,0.009071064417154483,,0.060986535936314756,0.05065320595869052,0.06049506040189036,0.0683408533502272,,,,,,,,0.010213124740788105,,,,,,,,,,,,,,,,,,,
23,Ancora,,,,,,0.03984095364447979,,,,,,,,,,,,,,,,,,,,,,,,,,0.013320315386177048,0.009160444131083072,,,,,,,,,0.009252519052083994,,,0.009251331131031605,0.02634316848869161,,,,0.07460470969529907,0.0529627141332376,,,
24,Ancyromonas,,,,,,,,,,,,,,,,,,,,,0.009121111529894007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Ankylochrysis,,,,,,,,,,,,,,,,,,,,0.006799417994728411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Anteholosticha,,0.055641488407465724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Antennella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031158847642487792,,,,,,,,,,,
28,Apedinella,,,,,,,,,,,,,0.044477402880152554,0.07392212709545729,,0.016628219864210796,,,,,0.028843487226888048,0.03628425766861793,0.04033482425550337,0.043123993121645235,0.028316002950482356,0.03704550748586981,0.03221618722401402,,,,0.02839809171235324,0.024920028229423966,0.02748133239324922,0.030233702757845024,0.05003388858865113,0.04127855392006342,0.04643634602125721,0.01122993126994272,0.07024393586862704,0.054854599453862854,0.008096966917978113,,,,,,,,,,,,,
29,Aplysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009160444131083072,,,,,,,,,,,,,,,,,,,,,
30,Aquilaria,,,,,,,,,,,,0.06803723730165605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Archaphanostoma,,,,0.033709993123162106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031158847642487792,,,,,,,,,,,
32,Aricidea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0985329278164293,0.12047778578575406,,,,,,,0.06486581250966159,0.17110175024477653,,
33,Armandia,,,,,,,,,,,,,,,0.01362911453735534,0.02880092164423916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07460470969529907,,0.055512738165336896,,
34,Asellus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009418885337109295,,,0.010213124740788105,,,,,,,,,,,,,,,,,,,
35,Aspergillus,,,,,,,,,0.08606629658238704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03745029431365691,,,
36,Auerbachia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01631398795453881,,,,,,,,,,,,,,,,,,,,,,
37,Aurelia,,,0.09284766908852593,,,,,,,,,,,,,,,,,,0.009121111529894007,0.012828422323899866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Aureococcus,,,,,,,,,,,,,0.03145027318612195,,,,,0.03374836535314135,,,,,,,0.01266330148967263,,,,,,,,,,0.022837241183087123,0.031659205646937014,0.08043011062666637,,,,0.044348914283496944,,,,,,,,,,,,,
39,Auxenochlorella,,,,,,,,,,,,,,,,,,,,,,,,,0.01266330148967263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Avagina,,,,,,0.06900655593423542,,,,,,,,,,,,,,,,,,,,,,0.03191940947085184,,,,,,,,,,,,,,,,,,0.02634316848869161,,,,,,,,
41,Axiothella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1765268127128016,,,0.17626153112249426,,,,,,,,,
42,Bangia,,,,,0.040356715613563084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Bathycoccus,,,,,,,,,,,,,0.15407424315426907,0.11451966686277365,,,0.33493917302777376,0.2782961500858745,0.012363121414592686,0.013598835989456822,0.02413219278858342,0.025656844647799732,0.06161246176452834,0.08325581065879477,0.0620372542174481,0.18768098919549092,0.17047203917087483,,,,,,0.009160444131083072,0.052366309277522866,0.036823944935621376,0.017340461085522337,0.31236857074491076,0.06548118901745499,0.28097574347450816,0.3054174839765328,0.04991305625076083,,,,,,,,,,,,,
44,Benoinyssus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.031158847642487792,,,,,,,,,,,
45,Beroe,,,,,,,,,,,,,,,,,,,,,0.043743314202716786,0.04443895849189075,0.08066964851100673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Biecheleria,,,0.16081688022566923,0.033709993123162106,,,,0.12027695586485274,0.06085806194501846,,,,,,0.01362911453735534,0.016628219864210796,,,0.012363121414592686,0.006799417994728411,,0.01571154444924173,,,,,,0.022570430888309446,,0.05261700561773909,0.13619246343602937,0.03524224189677176,0.022438413938426348,,0.028887079045261478,0.03320445500854597,,0.01122993126994272,,,0.008096966917978113,,,,,,,,0.048001536073731935,0.06091449038731727,0.11235088294097073,0.0679889413649005,0.02668802563418119,
47,Biecheleriopsis,,,,0.033709993123162106,,,,0.09508728264112049,,0.06178020632152155,,,,,0.009637239310932117,0.023515854050088617,,,,,,0.009071064417154483,,,,,,,,,0.04016096644512494,,0.009160444131083072,,,,,,,,,,,,,,,,,,,,,
48,Bifurcaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01883777067421859,,,0.010213124740788105,0.020023039751197107,,,,,,,,,,,,,,,,,,
49,Bigelowiella,,,,,,,,,,,,,0.044477402880152554,,,0.009600307214746386,,,,,,0.009071064417154483,,0.013002373149669486,,,,,,,,,,,,0.007079213594019637,,,,,,,,,,,,,,,,,,
50,Blastocystis,,,,,,,,,,,,,,,,,,,,,0.009121111529894007,,0.023287321641631116,,,0.021388233719233228,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Bodomorpha,,,,,,,,,,,,,,,,,,,,,,0.018142128834308966,0.023287321641631116,0.013002373149669486,,,,0.03909313304727391,,,,0.013320315386177048,0.018320888262166143,,,,,,,,,,,0.027639499641139105,,,,,,,,,,
52,Brachionus,,,,,,,,,,,,,,,,,,,,,,0.009071064417154483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Cafeteria,,,,,,,,,,,,,,,,,,,,,,,,,0.01266330148967263,,,,,,,,,0.06046740551569005,0.010213124740788105,0.010011519875598554,0.06142951168339512,,,,,,,,,,,,,,,,,
54,Calanus,,,,,,,,,,,,,0.03145027318612195,,0.15479698458411018,0.14685646147343226,,,0.1672452065486145,0.19195565060301847,0.02736333458968202,0.039539853104724076,,0.04111711414037298,0.07702785581125031,,,0.03191940947085184,,,,,,,0.014443539522630739,0.012261557622474287,,0.1169747073582518,0.02867696673382022,,0.09614615505150119,,,0.04787301767423468,,,,,,,,,,
55,Callopora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009160444131083072,,,,,,,,,,,,,,,,,,,,,
56,Campanularia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013320315386177048,,,,,,,,,,,,,,,,,,,,,,
57,Canuella,0.052450277757737605,0.07868894753646337,,,,,,,,,,,,,0.021549522214677447,0.019200614429492772,,,0.03151989867096247,0.021501647626876532,,0.009071064417154483,,,,,,,,,,,0.022438413938426348,,0.017689650955083718,0.007079213594019637,,0.007940760553235355,,,0.021422560838887206,,,,,,,,,,0.0529627141332376,,0.05337605126836238,0.09595886165829118
58,Capitella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051589359656894124,,,,0.010011519875598554,,,,,,,,,,,,,,,,,,
59,Capsicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037254866152587225,,,,,,,,
60,Cardiostomatella,,,,,,,,,,,,,,,,,,,,0.006799417994728411,,,,,0.01266330148967263,,0.02278028445007573,,,,,,,,,0.010011519875598554,,,,,,,,,,,,,,,,,,
61,Carinina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03925343359894298,,
62,Catenula,,,,,,0.03984095364447979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Catostylus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008096966917978113,,,,,,,,,,,,,
64,Celleporina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009418885337109295,0.012954824327538703,,,,,,,,,,,,,,,,,,,,,
65,Centroceras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009418885337109295,,,,,,,,,,,,,,,,,,,,,,
66,Cephalothrix,,0.055641488407465724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027639499641139105,,,,,,,,,,
67,Ceramium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05882092007739157,0.06412310891758151,,,0.010011519875598554,,,,,,,,,,,,,,,,,,
