,orderx,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
0,Acanthoecida,,0.08998425413316952,,,,,,,,,,,0.0657951694959769,,0.04357041189675804,0.0672042655409297,0.03724194613619293,,0.04182364708330591,0.0363436178449909,0.05863048328014844,0.0470112863021328,0.09954479382936177,0.16297369409447485,0.1280103190198557,0.11600039073881636,0.10337805812048977,,,0.03683547343418786,,0.05844314832897033,0.06642111641550714,0.048882371673784425,0.06575515215654502,0.052349063479066184,0.0502307543200643,0.03924547773562955,,,0.11407978482690159,,,0.02992081462322006,,,,,,,,,,
1,Acoela,0.07286792513358903,0.08998425413316952,,0.10079509744568746,0.11099697537363104,0.19906541544688175,,,,0.09166984970282113,0.08891084489487741,,,,,,,,0.009595002688760006,,,,,,,0.026612314770617474,,0.05031546054266276,,,0.031357362279453245,0.018180816511532222,0.010249000771134848,,,,,,,,,0.019170601037478835,0.10457342615636248,0.07329072851529446,0.019169720420053188,0.11076975512434226,0.3269621256748787,0.18448755080477625,0.0373196685431038,,0.13245323570650439,0.06972973991669029,0.1595782885185307,
2,Acrochaetiales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01049669930702032,0.010249000771134848,,,,,,,,,,,,,,,,,,,,,
3,Actiniaria,,,,,,,,,,,,,,,,,,,,,0.12778217581455908,0.08884298026335763,0.06425588811712815,0.039361886680687734,0.02494549129163341,0.04609388128972516,,0.02515773027133138,,0.052093226107062324,,0.014844574520140406,0.025104822262671692,,0.011623978496961555,0.00798315733880836,0.029000739528287075,,,,,0.009585300518739417,,,0.009584860210026594,0.026108681666265246,,,,,,,,
4,Agaricales,,,,,,,,,,,,0.17691623416865745,,,,0.01817881366751496,0.06450494288062959,,0.009595002688760006,,0.010364503077909365,,,,0.020367908349181042,,,0.035578403348241,,,0.04434600701584929,0.014844574520140406,,,0.020133321342825528,0.017850882484651814,,0.009003530075820247,0.036986336072765455,,,,,,,,,,,,,,,
5,Albuginales,,,,,,,,,,,,,,,,,,,,,0.010364503077909365,0.02293915886582789,0.04063899190541464,,,,,,,,,0.014844574520140406,0.010249000771134848,,,,,,,,,,,0.042314421837409036,,,,,,,,,,
6,Alcyonacea,,,,,,,,,,,,,,,,,,,,,,,,0.01487739475591506,,,,,,,,,0.017751790062418157,,,,,,,,,,,,,,,,,,,,,
7,Alismatales,,,,,,0.15267620413811483,0.20221818243805423,,,,,,,,,,,,,,,,,,,,,,,,,,0.025104822262671692,,,,,0.009003530075820247,,,0.00953983085648246,0.016602227504272985,0.085383844912568,,0.016601464867211358,0.07384650341622817,0.08174053141871968,0.11386818846191439,,,,,,
8,Amphipoda,,0.08998425413316952,,0.03809696588797297,,,,0.09274777915203365,0.09264821092241589,0.06482037235521644,0.08891084489487741,,,,0.035048024800755806,0.04922846012853754,,,0.03323806431138463,0.022255829781734217,0.010364503077909365,0.029015995849784378,,0.02103981343659344,0.020367908349181042,,,0.09743547036924463,0.13608276348795434,0.052093226107062324,0.04434600701584929,0.06470600019315081,0.0656256252471215,0.048882371673784425,0.020133321342825528,0.021121448995587128,,0.018007060151640494,,,0.0847918713607224,0.016602227504272985,,0.02992081462322006,0.016601464867211358,,0.06674086442659999,,0.05277798139692595,,,,0.04425905397725761,0.0472455591261534
9,Ancyromonadida,,,,,,,,,,,,,,,,,,,0.009595002688760006,,0.010364503077909365,0.010258703714131626,,,,0.04609388128972516,,0.02515773027133138,,,,0.018180816511532222,,,0.02324795699392311,0.011289889379101088,,,,,,,,,,,,,,,,,0.03129587719622029,
10,Anthoathecata,,,,,,,,,,,,,,,0.018303234009578204,0.08396434371590247,,,,,0.01795184592614303,0.010258703714131626,,0.033266866002324966,0.02494549129163341,0.03763549647474907,0.039073233258228174,0.02515773027133138,,,,0.023471333189872372,0.010249000771134848,,0.011623978496961555,0.011289889379101088,,0.009003530075820247,,,0.023367717830840247,,,,,,,,,,,,,
11,Antipatharia,,,,0.03809696588797297,,,,,,,,,,,,,,,,,,,,,,,,,,0.026046613053531162,,,,,,,,,,,,,0.049296385844716385,,,,,,,,,,,
12,Aphragmophora,,,,,,,,,,,,,0.07597371763975863,,0.02113475416494138,0.03927072586127908,,,0.0359012126865147,0.03147449631919557,0.02072900615581873,,,0.05364120963777081,0.020367908349181042,0.026612314770617474,0.06178020632152155,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Apiales,,,,,,,,0.046373889576016826,,,,,,,,,,,,0.00741860992724474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Aplysiida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010249000771134848,,,,,,,,,,,,,,,,,,,,,
15,Apochela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13608276348795434,0.026046613053531162,,,,,,,,,,,,,,,,,,,,,,,,
16,Araneae,0.09407208683835973,,,0.06598588053218754,,,,0.06558258357839529,,,,,,,,,,,,0.00741860992724474,,,,,,,,,,0.03683547343418786,,,,,0.011623978496961555,,0.0410132391597531,,,,,0.013555661993023146,,,0.01355503930246984,0.06395294793910794,0.04719291781830087,,,,,,0.03129587719622029,
