,species,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
0,Abarenicola_affinis,,,,,,,,,,,,,,,,,,,,,,,,0.01751289314081576,0.012100119186760988,,0.03778745135951221,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Abra_alba,,,,,,,,,,,,,,,,,,,,,,0.012176122899586164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Acanthamoeba_castellanii,,,,,,,,,0.0576390417704235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02508279586418186,,,,,,,,,,,,,
3,Acanthogorgia_aspera,,,,,,,,,,,,,,,,,,,,,,,,0.012383485498066197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Acavomonas_peruviana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030457245193658635,,,,,,
5,Aegagropila_linnaei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03696106354772864,,,,,,,
6,Aglaura_hemistoma,,,,,,,,,,,,,0.05272904491779212,,,,,,0.01697844257437558,0.011437226537395652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Akashiwo_sanguinea,,,,,,,,,,,,,,,,,,,,,0.015091009115945629,0.031043144132446902,,,0.012100119186760988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Alexandrium_affine,,,,,,,,,,,,,,,0.020912449268746906,0.02466210968639306,,,,,,,,,,,,,,,,,,,,,,0.026151798450191034,,,0.007562747506779042,,,,,,,,,,,,,
9,Alexandrium_andersonii,,,,,,,,,,0.1649572197684645,0.10830607221477646,,,,0.013226194228392581,0.01318245212593168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09264821092241589,0.0584206237836986,0.050734628943184104,,,
10,Alexandrium_ostenfeldii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03275608910402092,,,,,
11,Alexandrium_tamarense,,,,0.03259906833194042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Amathia_sp._n._1_AW-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0089314199121113,,,,,,,,,,,,,,,,,,,,,
13,Ammopiptanthus_mongolicus,,,,,,0.06721660724223312,0.058495538057412345,,0.115278083540847,0.05832118435198043,,0.14130434782608695,,,,,,,,,,,,,,,,,,,,0.00919445484142067,,,,,,,,,,,,0.03770230905437056,,0.03463755256929106,0.07392212709545729,,,,,0.03766217885773547,,
14,Amphicorina_mobilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0089314199121113,,,,,,,,,,,,,,,,,,,,,
15,Amphiporus_sp._MWS-2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22730053596632332,
16,Amphisamytha_bioculata,,,,,0.038604571824109146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Amphisbetia_minima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00919445484142067,,,,,,,,,,,,,,,,,,,,,,
18,Amphisbetia_operculata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0089314199121113,,,,,,,,,,,,,,,,,,,,,
19,Amphitrite_ornata,,,,,,,,,,,,,,,,,,,,,,,,0.04953394199226479,0.04686356009745014,0.05423261445466404,0.061706649674028946,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Ancora_sagittata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0089314199121113,,,,,,,,,,,,,,,,,,,,,
21,Ankylochrysis_lutea,,,,,,,,,,,,,,,,,,,,0.006603285820148111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Apedinella_radians,,,,,,,,,,,,,0.04305308489096176,,,0.016145140633599973,,,,,0.023051897195696485,0.03443927628343273,0.031951980305316645,0.039160019545553836,0.02705668903744704,0.028988551782622423,0.030853324837014473,,,,0.027607881518711637,0.02432624095121291,0.026794259736333897,,0.04603085100872835,0.036382483964514684,0.036147201953390995,,0.038180177416060626,0.041940612199002164,,,,,,,,,,,,,,
23,Aplysia_punctata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0089314199121113,,,,,,,,,,,,,,,,,,,,,
24,Archaphanostoma_macrospiriferum,,,,0.03259906833194042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.030358837035945815,,,,,,,,,,,
25,Aricidea_sp._THS-2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07436365992237533,0.08841975228517662,,,,,,,,0.11298653657320641,,
26,Armandia_brevis,,,,,,,,,,,,,,,0.013226194228392581,0.027964203872739932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07155035936258235,,0.05326236412913075,,
27,Asellus_aquaticus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00919445484142067,,,0.0095980959266335,,,,,,,,,,,,,,,,,,,
28,Auerbachia_pulchra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013002922735364077,,,,,,,,,,,,,,,,,,,,,,
29,Aurelia_sp._Incheon-2006,,,0.09245003270420486,,,,,,,,,,,,,,,,,,,0.012176122899586164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Auxenochlorella_protothecoides,,,,,,,,,,,,,,,,,,,,,,,,,0.012100119186760988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Avagina_marci,,,,,,0.06721660724223312,,,,,,,,,,,,,,,,,,,,,,0.031053504702226845,,,,,,,,,,,,,,,,,,0.02449244830545123,,,,,,,,
32,Axiothella_rubrocincta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16899514145952355,,,0.1689880022777423,,,,,,,,,
33,Bangia_fuscopurpurea,,,,,0.038604571824109146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Bathycoccus_prasinos,,,,,,,,,,,,,,,,,,0.032009219983223994,,,0.008712798175434305,0.012176122899586164,0.04518692389245682,0.030333220707417386,0.04013155526106651,0.08934871726729446,0.0654497856432128,,,,,,,,,0.006642502388478226,0.13843324407887755,0.027219654829326888,0.1376605873799188,0.13262786101068993,0.026198125853112306,,,,,,,,,,,,,
35,Bathycoccus_sp._TOSAG39-1,,,,,,,,,,,,,0.06807290427601058,0.03222454963485545,,,0.1496592528482932,0.12602042509444097,0.012005571878327357,,,,,,,,,,,,,,,,0.0095980959266335,,,,,,,,,,,,,,,,,,,
36,Beroe_ovata,,,,,,,,,,,,,,,,,,,,,0.03696527203775626,0.041291241710040706,0.07493403599081251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Biecheleria_brevisulcata,,,0.16012815380508713,0.03259906833194042,,,,0.11634594543263001,0.0576390417704235,,,,,,0.013226194228392581,0.016145140633599973,,,0.012005571878327357,0.006603285820148111,,0.014912644074701838,,,,,,0.02195814375455294,,0.05125846635527748,0.11043152607484655,0.03440249987476108,0.02187742146320606,,0.02351043752253776,0.029706173762684057,,0.01067642700984599,,,0.007562747506779042,,,,,,,,0.046324105461207944,0.0584206237836986,0.10762440050012628,0.06523280730534423,0.02607315963394304,
